word,frequency,lemma
and,689331153,
a,599173618,
be,120719914,
but,74717999,
like,31310346,
city,19039577,
service,12208928,
football,5386723,
addition,3262168,
grow,2125134,
wins,1961164,
ottawa,625824,
protocol,473502,
willoughby,429666,
deceased,346141,
sturgeon,233587,
monsoon,122383,
tracey,98047,
whitehaven,43627,
inexplicably,25594,
