lang,file_a,file_b,hapaxes_a,hapaxes_b,overlap,share_a_pct,share_b_pct
div,div_newscrawl_2011_20260405073331.csv,div_wikipedia_2021_20260405073338.csv,109010,50697,5546,5.09,10.94
dsb,dsb_wikipedia_2012_20260405072826.csv,dsb_wikipedia_2021_20260405072832.csv,10991,18593,6134,55.81,32.99
ekk,ekk_glot500_latn.csv,ekk_wikipedia_2012_20260404181235.csv,702741,297001,58239,8.29,19.61
ekk,ekk_glot500_latn.csv,ekk_wikipedia_2021_20260404181248.csv,702741,446366,118250,16.83,26.49
ekk,ekk_wikipedia_2012_20260404181235.csv,ekk_wikipedia_2021_20260404181248.csv,297001,446366,95108,32.02,21.31
ell,ell_newscrawl_2011_20260405074140.csv,ell_newscrawl_2013_1M_20260405074109.csv,425691,228824,46698,10.97,20.41
ell,ell_news_2018_20260405073947.csv,ell_news_2019_20260405074001.csv,137346,207843,21103,15.36,10.15
ell,ell_news_2013_20260405073915.csv,ell_newscrawl_2013_1M_20260405074109.csv,119744,228824,18367,15.34,8.03
ell,ell_news_2017_20260405073937.csv,ell_news_2018_20260405073947.csv,162405,137346,20625,12.7,15.02
ell,ell_news_2016_20260405073927.csv,ell_news_2017_20260405073937.csv,147959,162405,21395,14.46,13.17
ell,ell_news_2019_20260405074001.csv,ell_news_2020_20260405074013.csv,207843,294481,29843,14.36,10.13
ell,ell_news_2018_20260405073947.csv,ell_newscrawl_2013_1M_20260405074109.csv,137346,228824,19552,14.24,8.54
ell,ell_news_2016_20260405073927.csv,ell_news_2019_20260405074001.csv,147959,207843,21008,14.2,10.11
ell,ell_news_2016_20260405073927.csv,ell_newscrawl_2013_1M_20260405074109.csv,147959,228824,21013,14.2,9.18
ell,ell_news_2017_20260405073937.csv,ell_news_2019_20260405074001.csv,162405,207843,23038,14.19,11.08
ell,ell_news_2013_20260405073915.csv,ell_news_2017_20260405073937.csv,119744,162405,16465,13.75,10.14
ell,ell_news_2016_20260405073927.csv,ell_news_2021_20260405074024.csv,147959,255132,20304,13.72,7.96
ell,ell_news_2013_20260405073915.csv,ell_news_2019_20260405074001.csv,119744,207843,16399,13.7,7.89
ell,ell_news_2018_20260405073947.csv,ell_news_2021_20260405074024.csv,137346,255132,18789,13.68,7.36
ell,ell_news_2017_20260405073937.csv,ell_newscrawl_2013_1M_20260405074109.csv,162405,228824,22089,13.6,9.65
ell,ell_news_2016_20260405073927.csv,ell_news_2018_20260405073947.csv,147959,137346,18596,12.57,13.54
eml,eml_glot500_latn.csv,eml_wikipedia_2012_20260404163616.csv,74903,17481,3704,4.95,21.19
eml,eml_glot500_latn.csv,eml_wikipedia_2021_20260404163622.csv,74903,37706,12405,16.56,32.9
eml,eml_wikipedia_2012_20260404163616.csv,eml_wikipedia_2021_20260404163622.csv,17481,37706,8352,47.78,22.15
eng,eng_news_2023_20260404164359.csv,eng_news_2023_topic_20260404164538.csv,4424895,4424895,4424895,100.0,100.0
eng,eng_news_2012_20260404163724.csv,eng_news_2012_3M_20260404163740.csv,360240,212701,117470,32.61,55.23
eng,eng_news_2023_20260404164359.csv,eng_news_2023_topic2_20260404164651.csv,4424895,1472600,804124,18.17,54.61
eng,eng_news_2023_topic2_20260404164651.csv,eng_news_2023_topic_20260404164538.csv,1472600,4424895,804124,54.61,18.17
eng,eng_news-economy_2023_20260404164850.csv,eng_news_2023_20260404164359.csv,254370,4424895,79257,31.16,1.79
eng,eng_news-economy_2023_20260404164850.csv,eng_news_2023_topic_20260404164538.csv,254370,4424895,79257,31.16,1.79
eng,eng-ud-littleprince.csv,eng-ud-pud.csv,585,3268,106,18.12,3.24
