filename,lang,reason
dan_web_2002_20260404153350.csv,dan,44.4% hapax overlap with dan_mixed-freqdic_2018_20260404152912.csv
deu_newscrawl-hyphen_2011_20260404162248.csv,deu,67.0% hapax overlap with deu_newscrawl_2011_20260404162118.csv
deu_wikipedia_2018_20260404162822.csv,deu,56.9% hapax overlap with deu_wikipedia-gnd_2021_20260404172905.csv
deu_wikipedia_2021_20260404163028.csv,deu,43.1% hapax overlap with deu_wikipedia-gnd_2021_20260404172905.csv
diq_community_2017_20260404153840.csv,diq,44.6% hapax overlap with diq_wikipedia_2021_20260404153852.csv
diq_wikipedia_2011_20260404153846.csv,diq,72.9% hapax overlap with diq_community_2017_20260404153840.csv
dsb_wikipedia_2012_20260405072826.csv,dsb,55.8% hapax overlap with dsb_wikipedia_2021_20260405072832.csv
eml_wikipedia_2012_20260404163616.csv,eml,47.8% hapax overlap with eml_wikipedia_2021_20260404163622.csv
eng_news_2012_3M_20260404163740.csv,eng,55.2% hapax overlap with eng_news_2012_20260404163724.csv
eng_news_2023_20260404164359.csv,eng,100.0% hapax overlap with eng_news_2023_topic_20260404164538.csv
eng_news_2023_topic2_20260404164651.csv,eng,54.6% hapax overlap with eng_news_2023_topic_20260404164538.csv
epo_wikipedia_2021_20260404165507.csv,epo,34.7% hapax overlap with epo_mixed_2012_20260404165453.csv
ewe_community_2017_20260404165613.csv,ewe,42.7% hapax overlap with ewe_glot500_latn.csv
ext_wikipedia_2012_20260404165625.csv,ext,68.0% hapax overlap with ext_wikipedia_2021_20260404165631.csv
frr_wikipedia_2012_20260405081733.csv,frr,53.7% hapax overlap with frr_wikipedia_2021_20260405081739.csv
fur_wikipedia_2012_20260404171824.csv,fur,53.1% hapax overlap with fur_wikipedia_2021_20260404171830.csv
gag_wikipedia_2021_20260404171847.csv,gag,36.0% hapax overlap with gag_wikipedia_2012_20260404171841.csv
gle_wikipedia_2012_20260404211702.csv,gle,35.2% hapax overlap with gle_wikipedia_2021_20260404211708.csv
glg_wikipedia_2012_20260404171901.csv,glg,36.7% hapax overlap with glg_wikipedia_2021_20260404171909.csv
glk_community_2017_20260404173207.csv,glk,79.2% hapax overlap with glk_glot500_arab.csv
glv_bible.csv,glv,57.6% hapax overlap with glv_glot500_latn.csv
glv_wikipedia_2012_20260405073613.csv,glv,64.5% hapax overlap with glv_wikipedia_2021_20260405073618.csv
gom_community_2017_20260404173228.csv,gom,45.4% hapax overlap with gom_glot500_latn.csv
gom_newscrawl_2011_20260404173234.csv,gom,43.4% hapax overlap with gom_glot500_latn.csv
gor_wikipedia_2021_20260404173247.csv,gor,38.8% hapax overlap with gor_glot500_latn.csv
grn_community_2017_20260404173253.csv,grn,61.1% hapax overlap with grn_wikipedia_2021_20260404173306.csv
