used_shortcut,name,alternative_name,ud_name,leipzig_shortcut,ud_shortcut,til_shortcut,wals_shortcut,iso_code,primary_script,primary_script_pct,secondary_script,secondary_script_pct,distinct_words,total_frequency,family,genus,macroarea,latitude,longitude,countries,data_sources
bos,Bosnian,,,bos,,,bos,bos,Latin,99.73,,0.0,745926,27422684,Indo-European,Slavic,Eurasia,43.0,18.0,Bosnia-Herzegovina,"community, news, wikipedia"
bre,Breton,,,bre,,,bre,bre,Latin,99.21,,0.0,169804,3376187,Indo-European,Celtic,Eurasia,48.0,-3.0,France,wikipedia
bua,Buriat,,Buryat,bua,Buryat,,,bua,Cyrillic,97.48,Latin,2.17,35593,148166,,,,,,,wikipedia
bug,Buginese,Bugis,,bug,,,bug,bug,Latin,94.88,Buginese,5.12,2685,6539,Austronesian,South Sulawesi,Papunesia,-4.0,120.0,Indonesia,wikipedia
bul,Bulgarian,,,bul,,,bul,bul,Cyrillic,94.68,Latin,5.24,1534044,146349472,Indo-European,Slavic,Eurasia,42.5,25.0,Bulgaria,"bible, news, newscrawl, wikipedia"
cat,Catalan,,,cat,,,cat,cat,Latin,99.8,,0.0,2048225,319812056,Indo-European,Romance,Eurasia,41.75,2.0,Spain,"news, newscrawl, web, wikipedia"
cbk,Chavacano,,,cbk,,,cbk,cbk,Latin,99.79,,0.0,16576,112261,other,Creoles and Pidgins,Papunesia,7.0,122.083333333,Philippines,wikipedia
cdo,Min Dong Chinese,Fuzhou,,cdo,,,cdo,cdo,Latin,87.28,Han,12.61,10481,51375,Sino-Tibetan,Chinese,Eurasia,26.0,119.5,China; Malaysia; Thailand,wikipedia
ceb,Cebuano,,,ceb,,,ceb,ceb,Latin,99.98,,0.0,1190884,53421815,Austronesian,Greater Central Philippine,Papunesia,10.0,124.0,Philippines,"bible, community, wikipedia"
ces,Czech,,,ces,,,ces,ces,Latin,99.94,,0.0,7818897,1362193983,Indo-European,Slavic,Eurasia,50.0,15.0,Czech Republic,"bible, mixed, news, newscrawl, web-public, wikipedia"
cha,Chamorro,,,cha,,,cha,cha,Latin,99.87,,0.0,12777,141875,Austronesian,Chamorro,Papunesia,13.45,144.75,Guam,"bible, wikipedia"
che,Chechen,,,che,,,che,che,Cyrillic,93.82,Latin,5.82,126319,1293044,Nakh-Daghestanian,Nakh,Eurasia,43.25,45.8333333333,Russia,"community, wikipedia"
chr,Cherokee,,,chr,,,chr,chr,Latin,27.97,Cherokee,24.57,25703,116610,Iroquoian,Southern Iroquoian,North America,35.5,-83.5,United States,"bible, wikipedia"
chv,Chuvash,,,chv,,cv,chv,chv,Cyrillic,90.01,Latin,9.78,108676,655236,Altaic,Turkic,Eurasia,55.5,47.5,Russia,"community, wikipedia"
ckb,Central Kurdish,Kurdish (Central),,ckb,,,ckb,ckb,Latin,52.34,Arabic,47.62,235390,1838565,Indo-European,Iranian,Eurasia,36.0,44.0,Iran; Iraq,wikipedia
cmn,Mandarin Chinese,Kunming,Chinese,cmn,Chinese,,cmn,cmn,Han,97.39,Latin,2.53,3721381,5574649,Sino-Tibetan,Chinese,Eurasia,25.0,102.75,China,"bible, web, wikipedia"
cor,Cornish,,,cor,,,cor,cor,Latin,99.91,,0.0,18481,127170,Indo-European,Celtic,Eurasia,50.3333333333,-5.0,United Kingdom,wikipedia
cos,Corsican,,,cos,,,,cos,Latin,99.69,,0.0,36008,267832,,,,,,,wikipedia
crh,Crimean Turkish,Crimean Tatar,,crh,,crh,crh,crh,Latin,99.31,Cyrillic,0.56,16327,62089,Altaic,Turkic,Eurasia,45.0,34.0833333333,Uzbekistan,wikipedia
csb,Kashubian,,,csb,,,csb,csb,Latin,99.87,,0.0,66858,242392,Indo-European,Slavic,Eurasia,54.0,18.0,Poland,"news, wikipedia"
cym,Welsh,Welsh (Colloquial),,cym,,,cym,cym,Latin,99.54,,0.0,176869,4775156,Indo-European,Celtic,Eurasia,52.75,-3.5833,United Kingdom,wikipedia
dan,Danish,,,dan,,,dan,dan,Latin,99.97,,0.0,16452781,2818988351,Indo-European,Germanic,Eurasia,56.0,10.0,Denmark,"bible, mixed, mixed-freqdic, news, newscrawl, web, web-public, wikipedia"
deu,German,German (Berlin),,deu,,,deu,deu,Latin,99.95,,0.0,47743997,8846049483,Indo-European,Germanic,Eurasia,52.5,13.3333333333,Germany,"bible, mixed, news, news-gnd, newscrawl, newscrawl-hyphen, newscrawl-public, typical-mixed, wikipedia, wikipedia-WebCAGe, wikipedia-gnd"
