file,distinct_words,total_frequency,cov_50_types,cov_50_tokens,cov_55_types,cov_55_tokens,cov_60_types,cov_60_tokens,cov_65_types,cov_65_tokens,cov_70_types,cov_70_tokens,cov_72_types,cov_72_tokens,cov_74_types,cov_74_tokens,cov_76_types,cov_76_tokens,cov_78_types,cov_78_tokens,cov_80_types,cov_80_tokens,cov_81_types,cov_81_tokens,cov_82_types,cov_82_tokens,cov_83_types,cov_83_tokens,cov_84_types,cov_84_tokens,cov_85_types,cov_85_tokens,cov_86_types,cov_86_tokens,cov_87_types,cov_87_tokens,cov_88_types,cov_88_tokens,cov_89_types,cov_89_tokens,cov_90_types,cov_90_tokens,cov_90_5_types,cov_90_5_tokens,cov_91_types,cov_91_tokens,cov_91_5_types,cov_91_5_tokens,cov_92_types,cov_92_tokens,cov_92_5_types,cov_92_5_tokens,cov_93_types,cov_93_tokens,cov_93_5_types,cov_93_5_tokens,cov_94_types,cov_94_tokens,cov_94_5_types,cov_94_5_tokens,cov_95_types,cov_95_tokens,cov_95_5_types,cov_95_5_tokens,cov_96_types,cov_96_tokens,cov_96_5_types,cov_96_5_tokens,cov_97_types,cov_97_tokens,cov_97_5_types,cov_97_5_tokens,cov_98_types,cov_98_tokens,cov_98_5_types,cov_98_5_tokens,cov_99_types,cov_99_tokens,cov_99_5_types,cov_99_5_tokens,cov_100_types,cov_100_tokens,freq100_types,freq100_tokens,freq10_types,freq10_tokens,rank5pct_types,rank5pct_tokens,rank30pct_types,rank30pct_tokens
anw,52668,409670,75,204981,165,225346,369,245826,766,266321,1531,286784,1996,294967,2585,303166,3331,311350,4274,319546,5477,327736,6177,331836,6996,335931,7901,340028,8925,344124,10003,348220,11369,352318,12734,356413,14407,360511,16455,364607,18503,368703,19528,370753,20552,372801,21576,374849,22600,376897,23624,378945,24649,380995,26040,383042,28088,385090,30137,387139,32185,389187,34233,391235,36282,393284,38330,395332,40378,397380,42427,399429,44475,401477,46523,403525,48572,405574,50620,407622,52668,409670,256,236338,3424,312280,2633,303742,15800,363297
ara,5622059,563649399,1738,281854168,2560,310030803,3730,338190318,5424,366374826,7992,394562110,9381,405828228,11058,417104787,13116,428375409,15659,439649496,18851,450921737,20764,456556909,22946,462193529,25436,467829249,28300,473466426,31618,479103297,35503,484739673,40085,490376011,45558,496012389,52186,501648253,60343,507284924,65169,510102956,70620,512921194,76804,515739262,83881,518557640,92070,521375951,101658,524194045,112986,527012329,126501,529830468,142882,532648800,163119,535466977,188678,538285203,221820,541103490,266293,543921680,328454,546739939,420307,549558177,566769,552376419,827760,555194662,1368376,558012908,2803813,560831153,5622059,563649399,186644,538084731,740396,554445067,281102,544689249,1686617,558967631
arg,90799,1236933,95,618471,189,680513,362,742393,657,804038,1166,865900,1467,890594,1855,915378,2347,940093,2974,964826,3786,989547,4283,1001926,4858,1014292,5526,1026665,6305,1039034,7217,1051402,8285,1063766,9543,1076133,11016,1088503,12774,1100873,14935,1113243,16172,1119428,17539,1125612,19085,1131796,20631,1137980,22608,1144166,24669,1150349,26731,1156535,29497,1162719,32589,1168903,35681,1175087,38774,1181273,41866,1187457,47507,1193641,53692,1199826,59876,1206010,66061,1212195,72246,1218380,78430,1224564,84615,1230749,90799,1236933,1100,859576,9194,1072992,4539,1007665,27239,1158059
arz,216151,3100369,95,1552682,186,1705436,387,1860566,792,2015309,1585,2170321,2082,2232300,2728,2294305,3561,2356315,4621,2418335,5986,2480309,6827,2511313,7800,2542322,8946,2573326,10285,2604311,11877,2635328,13770,2666331,16042,2697322,18810,2728326,22194,2759329,26380,2790333,28909,2805836,31722,2821336,34823,2836841,38544,2852340,42420,2867844,47366,2883346,52533,2898847,58350,2914348,66101,2929850,73852,2945352,81603,2960854,92137,2976355,107639,2991857,123140,3007358,138642,3022860,154144,3038362,169646,3053864,185148,3069366,200650,3084868,216151,3100369,2306,2255687,19865,2738876,10807,2615097,64845,2927338
asm,167030,1578202,827,789309,1213,868065,1773,946927,2617,1025834,3960,1104761,4726,1136314,5687,1167898,6887,1199450,8420,1231012,10399,1262572,11598,1278352,12979,1294131,14600,1309911,16474,1325697,18657,1341475,21229,1357258,24287,1373037,27945,1388820,32168,1404601,37429,1420384,40059,1428274,43733,1436164,47679,1444056,51624,1451946,55570,1459838,59515,1467728,64447,1475619,72338,1483510,80229,1491401,88120,1499292,96011,1507183,103902,1515074,111793,1522965,119684,1530856,127575,1538747,135466,1546638,143357,1554529,151248,1562420,159139,1570311,167030,1578202,2042,975878,14073,1305168,8351,1229770,50109,1448916
ast,525760,25763701,182,12884148,353,14173440,627,15458521,1060,16748363,1772,18035950,2171,18550833,2660,19065166,3269,19580753,4044,20095855,5049,20611052,5657,20868801,6352,21126550,7146,21384099,8063,21641732,9129,21899353,10382,22156783,11874,22414489,13659,22672092,15829,22929793,18507,23187358,20092,23316198,21873,23445032,23880,23573791,26163,23702635,28778,23831426,31813,23960255,35374,24089092,39606,24217897,44673,24346717,50821,24475516,58397,24604337,67958,24733163,80286,24861977,96628,24990796,119026,25119613,150539,25248429,199374,25377247,268123,25506064,396942,25634883,525760,25763701,16732,23023108,78330,24844373,26288,23709257,157728,25269996
ava,21217,67460,952,33733,1369,37106,1948,40477,2741,43850,3865,47222,4519,48572,5194,49922,5868,51270,6543,52620,7725,53968,8400,54643,9075,55318,9749,55992,10424,56667,11098,57341,11773,58016,12448,58691,13122,59365,13797,60040,14471,60714,14809,61052,15146,61389,15483,61726,15821,62064,16158,62401,16495,62738,16833,63076,17170,63413,17507,63750,17844,64087,18182,64425,18519,64762,18856,65099,19194,65437,19531,65774,19868,66111,20206,66449,20543,66786,20880,67123,21217,67460,53,12919,958,33793,1060,34711,6365,52264
aym,13961,50448,107,25247,237,27750,496,30269,961,32794,1706,35314,2043,36325,2431,37333,2935,38341,3440,39351,3944,40359,4376,40863,4881,41368,5385,41872,5890,42377,6394,42881,6899,43386,7403,43890,7908,44395,8412,44899,8917,45404,9169,45656,9421,45908,9673,46160,9926,46413,10178,46665,10430,46917,10682,47169,10935,47422,11187,47674,11439,47926,11691,48178,11944,48431,12196,48683,12448,48935,12700,49187,12953,49440,13205,49692,13457,49944,13709,50196,13961,50448,29,21465,364,29201,698,31532,4188,40675
aze,1233598,25135920,1747,12568509,2602,13825205,3845,15082206,5728,16338742,8686,17595321,10343,18097995,12397,18600602,14976,19103409,18259,19606088,22522,20108776,25127,20360179,28129,20611495,31621,20862826,35708,21114224,40521,21365576,46272,21616908,53218,21868268,61701,22119625,72218,22370974,85463,22622328,93435,22748021,102534,22873698,112972,22999370,125017,23125050,139109,23250732,155646,23376406,175097,23502088,198274,23627765,226124,23753448,258770,23879126,300663,24004805,352236,24130484,415076,24256164,479521,24381843,605200,24507522,730880,24633202,856560,24758882,982239,24884561,1107919,25010241,1233598,25135920,23231,20180723,126466,23139540,61679,22119031,370079,24166170
bak,395644,5597901,1210,2799175,1836,3079205,2782,3358945,4245,3638713,6538,3918587,7806,4030508,9373,4142471,11318,4254407,13771,4366396,16904,4478340,18803,4534317,20971,4590279,23451,4646260,26316,4702244,29640,4758230,33543,4814204,38143,4870180,43599,4926158,50188,4982138,58225,5038116,62890,5066106,68196,5094091,73794,5122081,80636,5150070,87634,5178062,96314,5206049,105644,5234039,115132,5262028,129127,5290018,143121,5318006,157116,5345996,171728,5373985,199718,5401975,227707,5429964,255697,5457954,283686,5485943,311676,5513933,339665,5541922,367655,5569912,395644,5597901,6443,3909217,43109,4921748,19782,4560502,118693,5269150
