lang,n_words,avg_levenshtein,levenshtein_score,word_accuracy,n_correct
ces,526,1.4068,0.4723,0.1882,99
deu,199,1.4573,0.3474,0.1658,33
ell,207,1.7198,0.289,0.0918,19
eng,200,1.65,0.193,0.105,21
epo,196,1.1173,0.5051,0.2194,43
fra,200,1.745,0.266,0.085,17
hin,200,0.855,0.3896,0.355,71
jap,200,0.65,0.4,0.4,80
lat,189,1.619,0.4017,0.1217,23
mar,199,1.4573,0.2253,0.1508,30
rus,199,1.4422,0.3494,0.1709,34
spa,200,1.52,0.354,0.11,22
tel,200,1.89,0.2325,0.165,33
