lang,script,script_type,segmentor,language_name,family,genus,typology,dominant_script_pct,original_token_count,original_type_count,current_token_count,current_type_count,last_type_frequency,type_token_ratio,corpus_zipf_slope,compress_ratio,compress_reduction_pct,token_frequency_entropy,token_frequency_perplexity,avg_type_length,avg_token_length,hapax_type_ratio,single_token_type_ratio,word_count,word_total_frequency,word_ttr,word_entropy,word_perplexity,word_zipf_slope,morph_zipf_slope,word_hapax_ratio,morph_hapax_ratio,word_avg_length,word_avg_length_weighted,morph_count,morph_total_frequency,morph_ttr,morph_entropy,morph_perplexity,morph_type_entropy,morph_type_perplexity,morph_avg_length,morph_avg_length_weighted,avg_morphs_per_word,avg_roots_per_word,avg_affixes_per_word,avg_prefixes_per_word,avg_suffixes_per_word,compounding_index,affix_deviation,avg_morphs_per_word_weighted,avg_roots_per_word_weighted,avg_affixes_per_word_weighted,avg_prefixes_per_word_weighted,avg_suffixes_per_word_weighted,compounding_index_weighted,affix_deviation_weighted,root_entropy,affix_entropy,prefix_entropy,suffix_entropy,root_type_entropy,affix_type_entropy,prefix_type_entropy,suffix_type_entropy,root_count,affix_count,prefix_count,suffix_count
bel,Cyrl,alphabet,Slounik,Belorussian,Indo-European,Slavic,Fusional,94.85,131123017,3916397,123255639.0,172320,32,0.1833191709735093,-1.2624997102174254,0.731475,26.85,12.91893972557822,7744.410579581002,8.49678505106778,5.800022755956829,1.0,0.0,172319.0,966663.4110002464,0.1782616348556054,13.146361861637,9066.700171674993,-1.2621617127593387,-1.7342563814085818,1.0,0.6440012088244182,8.496828556340276,5.965569223348342,49635.0,2365191.567001608,0.0209856151579819,8.901329973691967,478.15348271516166,10.120817911832583,1113.4475708062466,6.060562103354488,2.4381392304347136,3.0321612822729938,1.873989519437787,1.1581717628352068,0.2764523935259605,0.5461556763908797,0.6619971343796087,0.2917917067738708,2.446758137408552,1.713765678051249,0.7329924593576858,0.1833034776982225,0.3485187637870898,0.7632116948328105,0.251379923453261,8.608030365795203,7.1064118141157655,5.08205619314823,6.136178467620341,10.298782733573413,7.534565089615876,5.521505937690036,6.690371238816711,49265.0,1558.0,621.0,928.0
ben,Beng,abugida,kcis,Bengali,Indo-European,Indic,Fusional,97.78,66691412,1851983,62689932.0,107493,21,0.1143528374656376,-1.3448726274655427,0.721122,27.89,12.709906996343175,6699.821744284089,7.37206143655866,5.257527715933716,1.0,0.0,107492.0,986875.9900001142,0.1089214866803959,12.776762057247236,7017.600269775069,-1.3444790474046302,-1.4411059611938404,1.0,0.840951815573365,7.372120715960257,5.314159735509822,80856.0,1785735.1250001278,0.045278831596032,9.70865772227828,836.7528341835637,12.453379996190383,5608.425125430358,6.899525081626596,2.9368358798450696,1.725672608194098,1.2506977263424257,0.4749748818516727,0.0120660142150113,0.462490231831206,0.7670377020305352,0.0062893081761006,1.8094827953003472,1.274665252520704,0.5348175427796216,0.0483694633203047,0.4855942193911494,0.7371528476777763,-7.595391414348257e-05,10.574436606004117,5.087954439259993,3.4935092203623768,4.943078872894368,13.93614779969396,5.602736338113768,5.039630538364576,5.553754801358025,80778.0,359.0,90.0,351.0
bew,Cyrl,alphabet,,Melayu Betawi,other,Creoles and Pidgins,Isolating,94.33,3003510,380317,2823300.0,128793,2,0.137011775776796,-1.1364589788668151,0.7195,28.05,13.219493134428255,9538.145891524584,8.570978236394835,6.277478128431269,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bos,Latn,alphabet,,Bosnian,Indo-European,Slavic,Fusional,99.71,175151853,3025295,164642746.0,105761,71,0.1125117551518187,-1.2158771842618874,0.784583,21.54,11.861758221595036,3721.731395111979,7.753718289350517,4.821169388173348,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bpy,Beng,abugida,,Bishnupriya,Indo-European,Indic,Fusional,72.75,3588412,264358,3373109.0,79216,2,0.084272462441228,-1.102216314160284,0.669472,33.05,11.32390628906113,2563.512627739816,6.785447384366795,5.398030125916477,0.9997980206018986,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bre,Latn,alphabet,,Breton,Indo-European,Celtic,Fusional,99.07,20704084,833230,19461848.0,69451,11,0.0738841235113539,-1.2247992493596265,0.774702,22.53,10.68829296827266,1650.0487896740538,7.304257678075189,4.372014363692492,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bul,Cyrl,alphabet,,Bulgarian,Indo-European,Slavic,Fusional,93.06,510129338,5431604,479521625.0,63602,352,0.067661679669739,-1.212309433446375,0.748199,25.18,11.165064146763685,2296.2502240470617,8.034637275557373,4.977001427203622,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cak,Latn,alphabet,,Cakchiquel,Mayan,Mayan,Fusional,99.62,3707725,91411,3485277.0,9630,16,0.010244634030907,-1.2361375480527717,0.686303,31.37,8.762825338264738,434.3834532970562,7.400934579439252,4.3523630976820495,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat,Latn,alphabet,Morphynet,Catalan,Indo-European,Romance,Fusional,99.72,519947538,4668800,488750791.0,37294,559,0.0396744575333889,-1.2280035269024134,0.753105,24.69,10.258511081800291,1224.9533407782783,7.730251514989006,4.570622444271399,1.0,0.0,37293.0,937512.8869999944,0.0397786531973295,10.582543065476004,1533.4262487574704,-1.2268934343926303,-1.3304513873283068,1.0,0.7998891736510355,7.730405169871021,4.741959223862942,28874.0,1290132.5249999848,0.022380646515365,8.896623365197714,476.5961097330547,12.045578718764824,4227.46975806117,7.180473782641824,3.4458768047879835,1.475209824900115,1.0105113560185557,0.4646984688815595,0.0512964899579009,0.4133215348724962,0.7734986011673253,0.0043668122270742,1.376122443637411,1.002715473072747,0.3734069705646664,0.0514445621695228,0.3219547658335335,0.8156824039653584,0.0030377594536871,10.148466446078462,2.6542787457937767,2.389068004609832,2.3608404042961126,14.62662192748447,3.6493203729075647,4.393257832077321,3.1006766603893263,28787.0,214.0,75.0,164.0
ceb,Latn,alphabet,,Cebuano,Austronesian,Greater Central Philippine,Agglutinative,99.24,574765695,5695355,540279795.0,61722,189,0.0656616922784037,-1.1716470349666708,0.656225,34.38,8.193998884184069,292.8461026456878,7.386345225365348,4.982718365398062,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
