lang,language,family,genus,macroarea,lat,lon,countries,n_words_segment_true,has_freq_segment_true,avg_levenshtein_segment_true,levenshtein_score_segment_true,avg_loss_segment_true,word_accuracy_segment_true,n_correct_segment_true,n_words_segment_universal,avg_levenshtein_segment_universal,levenshtein_score_segment_universal,word_accuracy_segment_universal,n_correct_segment_universal,n_words_root_true,has_freq_root_true,avg_levenshtein_root_true,levenshtein_score_root_true,avg_loss_root_true,word_accuracy_root_true,n_correct_root_true,n_words_root_universal,avg_levenshtein_root_universal,levenshtein_score_root_universal,word_accuracy_root_universal,n_correct_root_universal,original_distinct_words_results,original_total_frequency_results,word_count_results,morph_count_results,word_total_frequency_results,morph_total_frequency_results,word_ttr_results,morph_ttr_results,word_hapax_count_results,morph_hapax_count_results,word_hapax_ratio_results,morph_hapax_ratio_results,word_freq_hapax_count_results,morph_freq_hapax_count_results,word_freq_hapax_ratio_results,morph_freq_hapax_ratio_results,word_avg_length_results,morph_avg_length_results,word_avg_length_weighted_results,morph_avg_length_weighted_results,word_frequency_entropy_results,morph_frequency_entropy_results,word_frequency_perplexity_results,morph_frequency_perplexity_results,avg_root_count_results,avg_prefix_count_results,avg_suffix_count_results,avg_interfix_count_results,avg_root_count_weighted_results,avg_prefix_count_weighted_results,avg_suffix_count_weighted_results,avg_interfix_count_weighted_results,cutoff_word_pct_results,distinct_words_statistics,total_frequency_statistics,cutoff_95_words_statistics,cutoff_95_pct_vocab_statistics,cutoff_95_last_freq_statistics,cutoff_99_words_statistics,cutoff_99_pct_vocab_statistics,cutoff_99_last_freq_statistics
anw,Anaang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7473.0,338316.0,4518.0,3327.0,321402.0,499148.0,0.0140571620587301,0.0066653577696394,4518.0,2402.0,1.0,0.7219717463180042,0.0,0.0,0.0,0.0,6.891102257636122,5.003306281935678,3.881463089837649,2.499278771025828,8.223677836349498,7.278422180683865,298.93289181185406,155.2470646620352,1.0261177512173527,0.1069057104913678,1.1018149623727314,0.0037627268702965,1.008976297596157,0.0335218822533773,0.5092687662180073,0.0012663269052463,60.457647531112,7473.0,338316.0,4518.0,60.46,7.0,6797.0,90.95,5.0
ara,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711474.0,562026930.0,84961.0,61833.0,533925901.0,735761619.0,0.000159125076796,8.403944756460585e-05,84961.0,48282.0,1.0,0.7808451797583814,0.0,0.0,0.0,0.0,6.041760337095844,5.65804667410606,4.785026546221064,3.472387719099004,12.866479676796455,10.65282515312273,7467.86264265052,1609.9778818215243,1.0022834006191077,0.091218323701463,0.3867774626004873,9.416085027247796e-05,1.0008856809514473,0.0207661306170647,0.35632391619076,4.62367529909361e-05,11.941546704447386,711474.0,562026930.0,84961.0,11.94,359.0,268655.0,37.76,38.0
arg,Aragonese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15691.0,1617101.0,6594.0,4116.0,1536262.0,2431834.0,0.0042922366106822,0.0016925497381811,6594.0,2728.0,1.0,0.6627793974732751,0.0,0.0,0.0,0.0,7.319836214740674,5.200194363459669,4.04854185028335,2.5575845226277782,8.765823483566862,7.522858103381719,435.28710850379497,183.91025317080656,1.0304822565969065,0.1555959963603275,1.1721261753108887,0.0051562026084319,1.0097053757757466,0.0474111837694351,0.5248336546760904,0.0010050369012577,42.02409024281435,15691.0,1617101.0,6594.0,42.02,18.0,12611.0,80.37,6.0
arz,Egyptian Arabic,Afro-Asiatic,Semitic,Africa,30.0,31.0,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,36508.0,3265901.0,16505.0,15277.0,3102616.0,3866577.0,0.0053197044042833,0.0039510398991149,16505.0,13706.0,1.0,0.8971656738888525,0.0,0.0,0.0,0.0,5.865071190548319,5.340642796360542,4.176460122683568,3.351272197605272,9.714914706013955,9.175946912057611,840.3897210322012,578.409289303479,1.0154498636776734,0.021326870645259,0.3293547409875795,0.0043017267494698,1.0052323587578995,0.0068935375824787,0.2331235963457933,0.0009817521730049,45.20926920127095,36508.0,3265901.0,16505.0,45.21,15.0,30228.0,82.8,6.0
asm,Assamese,Indo-European,Indic,Eurasia,26.0,93.0,India,,,,,,,,,,,,,,,,,,,,,,,,,28003.0,2494460.0,13155.0,10312.0,2369742.0,2835594.0,0.0055512372232926,0.0036366278106104,13155.0,8378.0,1.0,0.8124515128006207,0.0,0.0,0.0,0.0,6.26826301786393,6.021625290923196,5.02390302404228,4.198539706319028,11.299776058573665,10.161859436967452,2520.9924087035893,1145.5775714039446,1.0064614215127328,0.0031166856708475,0.267882934245534,0.0002280501710376,1.0018158094847456,0.0015550216015076,0.1931682858302718,4.430862093848191e-05,46.97710959540049,28003.0,2494460.0,13155.0,46.98,17.0,23196.0,82.83,6.0
ast,Leonese,Indo-European,Romance,Eurasia,43.25,-6.0,Spain,,,,,,,,,,,,,,,,,,,,,,,,,547738.0,31798834.0,52064.0,23741.0,30208903.0,56522822.0,0.0017234654300422,0.0004200250298896,52064.0,15700.0,1.0,0.6613032306979487,0.0,0.0,0.0,0.0,7.785533189920098,5.316667368687082,4.807998820744997,2.5696588539050653,10.61977127543046,8.35201834991511,1573.5107018058727,326.7443207175066,1.0546634910878918,0.2299093423478795,1.4343884449907809,0.0150007682851874,1.0194275508779649,0.0893948714390588,0.7593107899350069,0.0029337708820475,9.505274419521742,547738.0,31798834.0,52064.0,9.51,23.0,272949.0,49.83,2.0
ava,Avaric,Nakh-Daghestanian,Avar-Andic-Tsezic,Eurasia,42.5,46.5,Azerbaijan; Russia,,,,,,,,,,,,,,,,,,,,,,,,,2246.0,57708.0,1701.0,1427.0,54825.0,105642.0,0.0310259917920656,0.0135078851214479,1701.0,1020.0,1.0,0.7147862648913805,0.0,0.0,0.0,0.0,7.021751910640799,4.657323055360897,6.113889648882809,3.172923647791598,9.51054798255434,8.256665481826948,729.3906938730958,305.8468234175339,1.0629041740152851,0.0964138741916519,1.0681951793062905,0.0229276895943562,1.041659826721386,0.0484450524395804,0.8191700866393069,0.0176196990424076,75.7346393588602,2246.0,57708.0,1701.0,75.73,6.0,2131.0,94.88,5.0
aym,Aymara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072.0,44542.0,663.0,612.0,42321.0,67882.0,0.01566598142766,0.0090156447953802,663.0,500.0,1.0,0.8169934640522876,0.0,0.0,0.0,0.0,5.829562594268476,4.552287581699346,4.252073438718367,2.6509531245396425,6.908308151527452,5.869192556754426,120.11796693280132,58.45248914389235,1.0180995475113122,0.0739064856711915,0.7677224736048266,0.004524886877828,1.0064979560974456,0.0446114222253727,0.54885281538716,0.0040169183147846,61.84701492537313,1072.0,44542.0,663.0,61.85,7.0,983.0,91.7,5.0
azb,South Azerbaijani,Altaic,Turkic,Eurasia,37.5,47.0,Iran; Iraq,,,,,,,,,,,,,,,,,,,,,,,,,953.0,1791.0,864.0,996.0,1702.0,2464.0,0.5076380728554641,0.4042207792207792,864.0,896.0,1.0,0.8995983935742972,715.0,757.0,0.8275462962962963,0.7600401606425703,6.869212962962963,5.269076305220883,6.038777908343126,4.171266233766234,8.29637877519833,8.422633073684208,314.38286451345755,343.1351414327405,1.0358796296296295,0.1018518518518518,0.4675925925925926,0.0127314814814814,1.0235017626321974,0.0687426556991774,0.3443008225616921,0.0111633372502937,90.6610703043022,953.0,1791.0,864.0,90.66,1.0,936.0,98.22,1.0
aze,Azerbaijani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204689.0,35246556.0,68282.0,29952.0,33484260.0,71826248.0,0.002039226788945,0.0004170063289398,68282.0,19205.0,1.0,0.6411925747863247,0.0,0.0,0.0,0.0,8.364664186754927,5.983273237179487,6.185516807001259,2.883590035219437,12.821414589723496,9.283952803681132,7238.196655753553,623.3734081870965,1.09582320377259,0.1736621657244954,1.4195395565449167,0.0298321666032043,1.0531707435075466,0.0964919039572623,0.9854481180112684,0.0099642040767811,33.35890057599578,204689.0,35246556.0,68282.0,33.36,33.0,146797.0,71.72,9.0
bak,Bashkir,Altaic,Turkic,Eurasia,53.0,58.0,Russia,,,,,,,,,,,,,,,,,,,,,,,,,68244.0,6284823.0,31106.0,16062.0,5970588.0,12427431.0,0.0052098721264974,0.0012924634222471,31106.0,10482.0,1.0,0.6525961897646619,0.0,0.0,0.0,0.0,7.742171928245354,5.207383887436185,5.815605933619938,2.794027743948045,12.164869023541264,9.253155641996202,4591.879358490892,610.2073055103451,1.094065453610236,0.2025332733234745,1.376261814440944,0.0416961357937375,1.0494790462848884,0.1043316001707034,0.9109263610217284,0.0167047198701367,45.58056385909384,68244.0,6284823.0,31106.0,45.58,17.0,56256.0,82.43,6.0
bam,Bambara,Mande,Western Mande,Africa,12.5,-7.5,Mali,,,,,,,,,,,,,,,,,,,,,,,,,761.0,36166.0,520.0,481.0,34366.0,46866.0,0.0151312343595414,0.0102633038876797,520.0,411.0,1.0,0.8544698544698545,0.0,0.0,0.0,0.0,4.388461538461539,3.5675675675675675,3.077314787871733,2.256539922331754,7.399925326577281,6.716332832496664,168.88827075112565,105.15202567101863,1.0288461538461535,0.0134615384615384,0.6230769230769231,0.0153846153846153,1.0158877960775186,0.0077111098178432,0.3259326078100448,0.0146656579177093,68.3311432325887,761.0,36166.0,520.0,68.33,12.0,689.0,90.54,5.0
ban,Balinese,Austronesian,Malayo-Sumbawan,Papunesia,-8.33333333333,115.25,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,4282.0,160727.0,2855.0,2554.0,152697.0,264363.0,0.0186971584248544,0.0096609586061589,2855.0,2141.0,1.0,0.8382928739232577,0.0,0.0,0.0,0.0,6.229772329246935,4.772122161315584,5.523841332835616,3.190590211186891,9.15272233866949,8.007307278110222,569.172575057105,257.2999342370955,1.0374781085814362,0.0637478108581436,0.7695271453590192,0.0063047285464098,1.020006941852165,0.0469360891176643,0.6615257667144737,0.0028225832858536,66.67445119103222,4282.0,160727.0,2855.0,66.67,7.0,3961.0,92.5,5.0
bar,Bavarian,Indo-European,Germanic,Eurasia,47.0,14.0,Austria,,,,,,,,,,,,,,,,,,,,,,,,,29277.0,3287617.0,13033.0,8364.0,3123253.0,4935245.0,0.0041728928139987,0.0016947486902879,13032.0,6023.0,0.9999232716949282,0.7201099952175992,0.0,0.0,0.0,0.0,6.712268855980971,4.976446676231468,3.957857720780225,2.50471678710986,9.781830196607755,8.247429591193697,880.2870271390877,303.89509754900223,1.064983888292159,0.1519103882154365,0.8827681448519258,0.016341875095903,1.0234704008929152,0.0580753464416747,0.4940960594610811,0.0045433399087425,44.51617310516788,29277.0,3287617.0,13034.0,44.52,20.0,23143.0,79.05,7.0
bcl,Central Bicolano,Austronesian,Greater Central Philippine,Papunesia,13.3333333333,123.5,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,5110.0,373160.0,2720.0,2353.0,354514.0,516308.0,0.0076724755580879,0.0045573572363782,2720.0,1888.0,1.0,0.8023799405014874,0.0,0.0,0.0,0.0,6.791911764705882,4.991500212494688,4.411543690799235,3.0291105309234023,7.957615871193317,7.613704927043228,248.5885214136074,195.863522672243,1.067279411764706,0.1,0.8382352941176471,0.0125,1.0230851249880115,0.0482688977022064,0.3827352375364584,0.0024173939534122,53.22896281800391,5110.0,373160.0,2720.0,53.23,14.0,4369.0,85.5,6.0
