iso_code,name,family,genus,macroarea,lat,lon,countries,typology
trw,Torwali,Indo-European,Indic,Eurasia,34.25,72.0,Pakistan,
tsg,Tausug,Austronesian,Greater Central Philippine,Papunesia,6.0,121.0,Malaysia; Philippines; Indonesia,
tsi,Tsimshian (Coast),Tsimshianic,Tsimshianic,North America,52.5,-129.0,Canada; United States,
tsj,Tshangla,Sino-Tibetan,Bodic,Eurasia,27.8333333333,92.1666666667,Bhutan; India,
tsm,Türk Isaret Dili,other,Sign Languages,Eurasia,39.0,34.0,Turkey,
tsn,Tswana,Niger-Congo,Bantu,Africa,-24.0,26.0,South Africa; Botswana,Agglutinative
tso,Tsonga,Niger-Congo,Bantu,Africa,-24.0,32.0,Mozambique; South Africa,Agglutinative
tsq,Thai Sign Language,other,Sign Languages,Eurasia,15.0,101.0,Thailand,
tss,Taiwanese Sign Language (Ziran Shouyu),other,Sign Languages,Papunesia,24.0,121.0,Taiwan,
tsu,Tsou,Austronesian,Tsou,Papunesia,23.5,120.75,Taiwan,
tsv,Tsogo,Niger-Congo,Bantu,Africa,-1.5,11.3333333333,Gabon,
tsz,Purépecha,Tarascan,Tarascan,North America,19.5,-101.666666667,Mexico,
tta,Tutelo,Siouan,Ohio Valley Siouan,North America,37.6666666667,-78.75,United States,
ttc,Tectiteco,Mayan,Mayan,North America,15.4166666667,-92.0833333333,Guatemala; Mexico,
tti,Tobati,Austronesian,Oceanic,Papunesia,-2.58333333333,140.666666667,Indonesia,
ttm,Tutchone (Northern),Na-Dene,Athapaskan,North America,63.0,-137.0,Canada,
ttr,Tera,Afro-Asiatic,Biu-Mandara,Africa,11.0,11.8333333333,Nigeria,
ttt,Tat (Muslim),Indo-European,Iranian,Eurasia,41.25,48.75,Azerbaijan,
tty,Sikaritai,Lakes Plain,East Tariku,Papunesia,-2.91666666667,138.25,Indonesia,
tub,Tübatulabal,Uto-Aztecan,Northern Uto-Aztecan,North America,36.0,-118.333333333,United States,
tue,Tuyuca,Tucanoan,Tucanoan,South America,0.5,-70.0833333333,Colombia; Brazil,
tuf,Tunebo,Chibchan,Tunebo,South America,6.75,-72.25,Colombia,
tuh,Taulil,Taulil,Taulil,Papunesia,-4.41666666667,152.083333333,Papua New Guinea,
tui,Tupuri,Niger-Congo,Mbumic,Africa,10.1666666667,14.75,Chad; Cameroon,
tuk,Turkmen,Altaic,Turkic,Eurasia,40.0,58.0,Turkmenistan,Agglutinative
tun,Tunica,Tunica,Tunica,North America,32.6666666667,-91.0,United States,
tuo,Tucano,Tucanoan,Tucanoan,South America,0.5,-69.1666666667,Colombia; Brazil,
tur,Turkish,Altaic,Turkic,Eurasia,39.0,35.0,Turkey,Agglutinative
tus,Tuscarora,Iroquoian,Northern Iroquoian,North America,36.0,-77.5,United States,
tuu,Chasta Costa,Na-Dene,Athapaskan,North America,42.6666666667,-124.0,United States,
tuv,Turkana,Eastern Sudanic,Eastern Nilotic,Africa,3.0,35.5,Kenya; Uganda,
tvk,Southeast Ambrym,Austronesian,Oceanic,Papunesia,-16.3,168.216666667,Vanuatu,
tvl,Nanumea,Austronesian,Oceanic,Papunesia,-5.66666666667,176.116666667,Tuvalu,
tvo,Tidore,North Halmaheran,North Halmaheran,Papunesia,0.75,127.5,Indonesia,
tvt,Tutsa,Sino-Tibetan,Brahmaputran,Eurasia,27.5,96.5,India,
tvu,Tunen,Niger-Congo,Bantu,Africa,4.75,10.6666666667,Cameroon,
twa,Twana,Salishan,Central Salish,North America,47.6666666667,-122.75,United States,
twf,Tiwa (Northern),Kiowa-Tanoan,Kiowa-Tanoan,North America,36.5,-105.5,United States,
twu,Roti,Austronesian,Central Malayo-Polynesian,Papunesia,-10.6666666667,123.25,Indonesia,
txn,Tarangan (West),Austronesian,Central Malayo-Polynesian,Papunesia,-6.5,134.166666667,Indonesia,
txu,Kayapó,Macro-Ge,Je Setentrional,South America,-9.0,-52.0,Brazil,
txx,Tatana',Austronesian,North Borneo,Papunesia,5.5,115.5,Malaysia,
tya,Tauya,Trans-New Guinea,Rai Coast,Papunesia,-5.75,145.333333333,Papua New Guinea,
