used_shortcut,name,alternative_name,ud_name,leipzig_shortcut,ud_shortcut,til_shortcut,wals_shortcut,iso_code,primary_script,primary_script_pct,secondary_script,secondary_script_pct,distinct_words,total_frequency,family,genus,macroarea,latitude,longitude,countries,data_sources
ayr,Aymara (Central),,,,,,ayr,ayr,Latin,100.0,,0.0,15424,29818,Aymaran,Aymaran,South America,-17.0,-69.0,Chile; Bolivia; Peru,glot500
azb,South Azerbaijani,Azari (Iranian),,azb,,,azb,azb,Arabic,68.33,Latin,30.3,17617,45142,Altaic,Turkic,Eurasia,37.5,47.0,Iran; Iraq,"glot500, wikipedia"
aze,Azerbaijani,,,aze,,az,,aze,Latin,86.94,Arabic,12.44,13245703,494773437,,,,,,,"glot500, news, newscrawl, wikipedia"
azj,,,,,,,,azj,Latin,99.02,Cyrillic,0.84,1003045,18912444,,,,,,,glot500
bak,Bashkir,,,bak,,ba,bak,bak,Cyrillic,74.08,Latin,25.73,1900113,46265335,Altaic,Turkic,Eurasia,53.0,58.0,Russia,"community, glot500, wikipedia"
bam,Bambara,,,bam,,,bam,bam,Latin,99.57,,0.0,50153,457506,Mande,Western Mande,Africa,12.5,-7.5,Mali,"glot500, wikipedia"
ban,Balinese,,,ban,,,ban,ban,Latin,99.78,,0.0,95097,989938,Austronesian,Malayo-Sumbawan,Papunesia,-8.33333333333,115.25,Indonesia,"glot500, wikipedia"
bar,Bavarian,German (Upper Austrian),,bar,,,bar,bar,Latin,99.76,,0.0,728260,8818632,Indo-European,Germanic,Eurasia,47.0,14.0,Austria,"glot500, wikipedia"
bcl,Central Bicolano,Bikol,,bcl,,,bcl,bcl,Latin,99.37,,0.0,212381,2821080,Austronesian,Greater Central Philippine,Papunesia,13.3333333333,123.5,Philippines,"community, glot500, wikipedia"
bel,Belarusian,Belorussian,,bel,,,bel,bel,Cyrillic,94.85,Latin,5.09,3916397,131123017,Indo-European,Slavic,Eurasia,54.0,28.0,Belarus,"glot500, news, newscrawl, wikipedia"
bem,Bemba,,,,,,bem,bem,Latin,100.0,,0.0,13100,44810,Niger-Congo,Bantu,Africa,-10.0,28.25,Democratic Republic of Congo,glot500
ben,Bengali,,,ben,,,ben,ben,Bengali,97.78,Latin,2.06,1851983,66691412,Indo-European,Indic,Eurasia,24.0,90.0,Bangladesh; India,"community, news, newscrawl, web, wikipedia"
ber,,,,,,,,ber,Latin,99.78,,0.0,100921,2060473,,,,,,,glot500
bew,Melayu Betawi,,,,,,bew,bew,Cyrillic,94.33,Latin,5.57,380317,3003510,other,Creoles and Pidgins,Papunesia,-6.5,107.0,Indonesia,glot500
bih,unknown,,,bih,,,,bih,Devanagari,93.47,Latin,6.38,64908,1132676,,,,,,,"glot500, wikipedia"
bik,Bikol,,,bik,,,,bik,Latin,99.8,,0.0,97913,999732,,,,,,,"community, glot500, wikipedia"
bis,Bislama,,,bis,,,bis,bis,Latin,99.22,,0.0,7753,44962,other,Creoles and Pidgins,Papunesia,-16.0,168.0,Vanuatu,"glot500, wikipedia"
bjn,Banjar,,,bjn,,,,bjn,Latin,99.57,,0.0,109200,1220053,,,,,,,"community, glot500, wikipedia"
bod,Tibetan,Rang Pas,,bod,,,bod,bod,Tibetan,97.93,Latin,1.76,1499452,1839367,Sino-Tibetan,Bodic,Eurasia,30.3333333333,79.3333333333,Nepal,"community, glot500, wikipedia"
bos,Bosnian,,,bos,,,bos,bos,Latin,99.71,,0.0,3025295,175151853,Indo-European,Slavic,Eurasia,43.0,18.0,Bosnia-Herzegovina,"community, glot500, news, wikipedia"
bpy,Bishnupriya,,,bpy,,,,bpy,Bengali,72.75,Latin,25.12,264358,3588412,,,,,,,"glot500, wikipedia"
bqc,Boko,,,,,,bqc,bqc,Latin,93.91,,0.0,33992,588173,Mande,Eastern Mande,Africa,10.5,3.5,Nigeria; Benin,glot500
bre,Breton,,,bre,,,bre,bre,Latin,99.07,,0.0,833230,20704084,Indo-European,Celtic,Eurasia,48.0,-3.0,France,"glot500, wikipedia"
bsb,,,,,,,,bsb,Latin,99.02,,0.0,113955,2029646,,,,,,,glot500
bua,Buriat,,Buryat,bua,Buryat,,,bua,Cyrillic,97.48,Latin,2.17,35592,148166,,,,,,,wikipedia
bug,Buginese,Bugis,,bug,,,bug,bug,Latin,94.88,Buginese,5.12,2685,6539,Austronesian,South Sulawesi,Papunesia,-4.0,120.0,Indonesia,wikipedia
bul,Bulgarian,,,bul,,,bul,bul,Cyrillic,93.06,Latin,6.81,5431604,510129338,Indo-European,Slavic,Eurasia,42.5,25.0,Bulgaria,"bible, glot500, news, newscrawl, wikipedia"
bzj,,,,,,,,bzj,Latin,100.0,,0.0,3338,228673,,,,,,,glot500
cab,Garifuna,Garífuna,,cab,,,cab,cab,Latin,100.0,,0.0,16126,162804,Arawakan,Antillean Arawakan,North America,15.6666666667,-88.0,Guatemala; Belize; Honduras,glot500
cak,Cakchiquel,,,,,,cak,cak,Latin,99.62,,0.0,91411,3707725,Mayan,Mayan,North America,14.5,-91.0,Guatemala,glot500
cat,Catalan,,,cat,,,cat,cat,Latin,99.72,,0.0,4668800,519947538,Indo-European,Romance,Eurasia,41.75,2.0,Spain,"glot500, news, newscrawl, web, wikipedia"
cbk,Chavacano,,,cbk,,,cbk,cbk,Latin,99.68,,0.0,47563,655585,other,Creoles and Pidgins,Papunesia,7.0,122.083333333,Philippines,"glot500, wikipedia"
cdo,Min Dong Chinese,Fuzhou,,cdo,,,cdo,cdo,Latin,87.28,Han,12.61,10480,51375,Sino-Tibetan,Chinese,Eurasia,26.0,119.5,China; Malaysia; Thailand,wikipedia
ceb,Cebuano,,,ceb,,,ceb,ceb,Latin,99.24,,0.0,5695355,574765695,Austronesian,Greater Central Philippine,Papunesia,10.0,124.0,Philippines,"bible, community, glot500, wikipedia"
ces,Czech,,,ces,,,ces,ces,Latin,99.91,,0.0,11195130,1639474654,Indo-European,Slavic,Eurasia,50.0,15.0,Czech Republic,"bible, glot500, mixed, news, newscrawl, web-public, wikipedia"
cha,Chamorro,,,cha,,,cha,cha,Latin,99.87,,0.0,12777,141875,Austronesian,Chamorro,Papunesia,13.45,144.75,Guam,"bible, wikipedia"
che,Chechen,,,che,,,che,che,Cyrillic,94.03,Latin,5.67,616746,8976794,Nakh-Daghestanian,Nakh,Eurasia,43.25,45.8333333333,Russia,"community, glot500, wikipedia"
chk,Chuukese,,,,,,chk,chk,Latin,100.0,,0.0,15905,809723,Austronesian,Oceanic,Papunesia,7.33333333333,151.75,Micronesia,glot500
chr,Cherokee,,,chr,,,chr,chr,Latin,27.97,Cherokee,24.57,25703,116610,Iroquoian,Southern Iroquoian,North America,35.5,-83.5,United States,"bible, wikipedia"
chv,Chuvash,,,chv,,cv,chv,chv,Cyrillic,91.95,Latin,7.89,860487,13617218,Altaic,Turkic,Eurasia,55.5,47.5,Russia,"community, glot500, wikipedia"
cjk,,,,,,,,cjk,Latin,100.0,,0.0,13815,38918,,,,,,,glot500
ckb,Central Kurdish,Kurdish (Central),,ckb,,,ckb,ckb,Arabic,63.98,Latin,35.93,2300047,34087911,Indo-European,Iranian,Eurasia,36.0,44.0,Iran; Iraq,"glot500, wikipedia"
cmn,Mandarin Chinese,Kunming,Chinese,cmn,Chinese,,cmn,cmn,Han,97.81,Latin,2.13,3779777,5633233,Sino-Tibetan,Chinese,Eurasia,25.0,102.75,China,"bible, glot500, web, wikipedia"
cor,Cornish,,,cor,,,cor,cor,Latin,99.91,,0.0,18479,127170,Indo-European,Celtic,Eurasia,50.3333333333,-5.0,United Kingdom,wikipedia
cos,Corsican,,,cos,,,,cos,Latin,99.72,,0.0,4649758,63462820,,,,,,,"glot500, wikipedia"
crh,Crimean Turkish,Crimean Tatar,,crh,,crh,crh,crh,Latin,66.55,Cyrillic,33.32,105837,614307,Altaic,Turkic,Eurasia,45.0,34.0833333333,Uzbekistan,"glot500, wikipedia"
crs,Seychelles Creole,,,,,,crs,crs,Latin,100.0,,0.0,36,51,other,Creoles and Pidgins,Eurasia,-4.75,55.5,Seychelles,glot500
csb,Kashubian,,,csb,,,csb,csb,Latin,99.81,,0.0,141018,834336,Indo-European,Slavic,Eurasia,54.0,18.0,Poland,"glot500, news, wikipedia"
csy,Chin (Siyin),,,,,,csy,csy,Latin,100.0,,0.0,6530,144574,Sino-Tibetan,Kuki-Chin,Eurasia,23.8333333333,94.0,Myanmar,glot500
ctu,Chol,,,,,,ctu,ctu,Latin,100.0,,0.0,11256,470401,Mayan,Mayan,North America,17.75,-92.5,Mexico,glot500
cuk,,,,,,,,cuk,Latin,100.0,,0.0,33213,127450,,,,,,,glot500
cym,Welsh,Welsh (Colloquial),,cym,,,cym,cym,Latin,99.53,,0.0,1138828,45085322,Indo-European,Celtic,Eurasia,52.75,-3.5833,United Kingdom,"glot500, wikipedia"
dan,Danish,,,dan,,,dan,dan,Latin,99.95,,0.0,19880034,3108617544,Indo-European,Germanic,Eurasia,56.0,10.0,Denmark,"bible, glot500, mixed, mixed-freqdic, news, newscrawl, web, web-public, wikipedia"
