file,distinct_words,total_frequency,cov_50_types,cov_50_tokens,cov_55_types,cov_55_tokens,cov_60_types,cov_60_tokens,cov_65_types,cov_65_tokens,cov_70_types,cov_70_tokens,cov_72_types,cov_72_tokens,cov_74_types,cov_74_tokens,cov_76_types,cov_76_tokens,cov_78_types,cov_78_tokens,cov_80_types,cov_80_tokens,cov_81_types,cov_81_tokens,cov_82_types,cov_82_tokens,cov_83_types,cov_83_tokens,cov_84_types,cov_84_tokens,cov_85_types,cov_85_tokens,cov_86_types,cov_86_tokens,cov_87_types,cov_87_tokens,cov_88_types,cov_88_tokens,cov_89_types,cov_89_tokens,cov_90_types,cov_90_tokens,cov_90_5_types,cov_90_5_tokens,cov_91_types,cov_91_tokens,cov_91_5_types,cov_91_5_tokens,cov_92_types,cov_92_tokens,cov_92_5_types,cov_92_5_tokens,cov_93_types,cov_93_tokens,cov_93_5_types,cov_93_5_tokens,cov_94_types,cov_94_tokens,cov_94_5_types,cov_94_5_tokens,cov_95_types,cov_95_tokens,cov_95_5_types,cov_95_5_tokens,cov_96_types,cov_96_tokens,cov_96_5_types,cov_96_5_tokens,cov_97_types,cov_97_tokens,cov_97_5_types,cov_97_5_tokens,cov_98_types,cov_98_tokens,cov_98_5_types,cov_98_5_tokens,cov_99_types,cov_99_tokens,cov_99_5_types,cov_99_5_tokens,cov_100_types,cov_100_tokens,freq100_types,freq100_tokens,freq10_types,freq10_tokens,rank5pct_types,rank5pct_tokens,rank30pct_types,rank30pct_tokens
ext,96720,981630,349,490998,662,539907,1197,588988,2071,638067,3528,687161,4355,706786,5373,726408,6638,746050,8201,765674,10151,785307,11299,795122,12585,804939,14012,814753,15649,824575,17443,834386,19407,844206,21838,854021,24292,863837,27440,873652,30712,883468,32348,888376,33984,893284,35620,898192,37256,903100,39367,908009,41821,912917,44275,917825,46729,922733,49183,927641,51637,932549,54091,937457,57455,942365,62363,947273,67272,952182,72180,957090,77088,961998,81996,966906,86904,971814,91812,976722,96720,981630,825,557628,9688,781140,4836,716591,29016,878380
fao,1402912,55085340,278,27549501,483,30300028,819,33054499,1388,35808617,2389,38561366,2983,39661521,3747,40763763,4731,41865490,6010,42967140,7718,44068563,8804,44619584,10090,45170112,11625,45721040,13465,46271928,15698,46822640,18429,47373574,21793,47924304,26010,48475202,31387,49026031,38344,49576848,42609,49852238,47551,50127710,53290,50403107,59998,50678533,67912,50953944,77321,51229390,88622,51504807,102366,51780234,119259,52055659,140304,52331078,166930,52606504,201023,52881928,244968,53157355,304659,53432783,383800,53708209,490217,53983635,627930,54259061,852059,54534487,1127486,54809914,1402912,55085340,29240,48822271,163163,52572601,70145,51023877,420873,53819428
fas,8870040,1268906100,396,634750232,602,697970073,900,761483633,1325,824884793,1958,888309682,2295,913645690,2705,939008002,3214,964396779,3850,989776362,4660,1015148780,5152,1027834175,5716,1040520666,6368,1053197149,7128,1065881308,8021,1078578909,9085,1091262873,10368,1103949153,11935,1116638613,13890,1129328192,16372,1142019202,17875,1148363959,19608,1154707493,21620,1161049414,23982,1167394078,26771,1173739564,30118,1180083879,34162,1186428536,39119,1192771828,45348,1199116529,53402,1205460908,64070,1211805403,78724,1218149949,99661,1224494428,131276,1230838930,182771,1237183495,275839,1243527988,471455,1249872512,994249,1256217045,2933104,1262561570,8870040,1268906100,177297,1236651679,816975,1254767788,443502,1249239140,2661012,1262017386
fij,16781,417997,31,210203,43,230677,59,251763,85,271889,133,292772,162,301088,200,309433,247,317740,303,326048,375,334407,419,338624,468,342785,525,346968,590,351125,665,355342,751,359516,855,363676,979,367842,1128,372025,1314,376217,1424,378303,1547,380388,1685,382472,1842,384558,2024,386648,2235,388742,2479,390830,2765,392922,3103,395012,3511,397099,4011,399190,4602,401279,5299,403370,6277,405458,7322,407548,8422,409638,10512,411728,12602,413818,14692,415908,16781,417997,380,334908,2195,388382,839,363086,5034,402575
fil,10365451,685641556,281,342911251,500,377110538,894,411444167,1585,445701257,2789,479963703,3482,493666931,4354,507383888,5463,521094600,6904,534805045,8798,548514105,9970,555372411,11333,562226877,12928,569084567,14798,575940127,17034,582797723,19735,589653521,23021,596509485,27102,603365796,32232,610221532,38837,617077470,42899,620505795,47625,623933948,53163,627362301,59729,630790668,67606,634218727,77224,637646755,89114,641074947,104141,644503102,123553,647931360,149408,651359592,185047,654787730,236066,658215911,312887,661644137,435604,665072327,645652,668500529,1038393,671928727,1850619,675356935,3509036,678785141,6937244,682213349,10365451,685641556,162851,652790841,774659,669898728,518272,666661340,3109635,678143226
fin,17758132,660781477,2814,330401015,4570,363443273,7361,396473911,11942,429511412,19822,462549245,24498,475763710,30517,488978838,38358,502193987,48688,515410167,62632,528625319,71498,535233621,82002,541841031,94572,548448634,109767,555056491,128297,561664544,151128,568272259,179615,574880023,215679,581487854,262051,588095516,323079,594703377,361037,598007280,405413,601311175,457660,604615094,519705,607918978,594056,611222905,684223,614526803,794666,617830683,931661,621134607,1104362,624438507,1325270,627742406,1613358,631046320,1993299,634350224,2510532,637654130,3239837,640958034,4252861,644261941,5759544,647565849,7846410,650869755,11150318,654173663,14454225,657477570,17758132,660781477,309817,593421051,1677043,631683170,887906,620155619,5327439,646701639
fon,19711,602695,38,301417,55,332323,78,361700,110,392224,156,422044,180,433983,209,446277,243,458349,284,470167,336,482354,366,488271,401,494338,440,500352,485,506365,537,512311,599,518324,672,524378,758,530374,865,536419,996,542429,1076,545451,1167,548480,1269,551470,1389,554496,1528,557512,1691,560511,1885,563521,2120,566537,2404,569549,2756,572567,3206,575574,3772,578589,4494,581603,5440,584616,6722,587629,8229,590643,10671,593655,13685,596669,16698,599682,19711,602695,554,514056,2419,569699,985,541973,5913,586011
fra,10158965,2207291174,185,1103818482,348,1214212486,608,1324395761,1050,1434829079,1765,1545161613,2161,1589261589,2651,1633464034,3258,1677594121,4019,1721688593,4990,1765842768,5577,1787919548,6246,1810009079,7013,1832063021,7904,1854134618,8945,1876207618,10171,1898283515,11641,1920347062,13424,1942424050,15613,1964498037,18344,1986566718,19968,1997600601,21809,2008638983,23917,2019675735,26351,2030710295,29189,2041745889,32530,2052782531,36498,2063819693,41299,2074854041,47199,2085890428,54605,2096927500,64114,2107963092,76737,2118999598,94224,2130036321,119642,2141072606,159422,2152108938,228236,2163145355,366107,2174181814,714656,2185218274,2074176,2196254719,10158965,2207291174,254170,2165966791,1118845,2190603420,507948,2180128106,3047689,2199070993
frp,11807,49319,89,24673,159,27143,296,29595,542,32061,949,34524,1183,35512,1460,36497,1789,37484,2204,38470,2697,39456,2944,39950,3190,40442,3437,40936,3916,41428,4410,41922,4903,42415,5396,42908,5889,43401,6382,43894,6876,44388,7122,44634,7369,44881,7615,45127,7862,45374,8109,45621,8355,45867,8602,46114,8848,46360,9095,46607,9342,46854,9588,47100,9835,47347,10081,47593,10328,47840,10575,48087,10821,48333,11068,48580,11314,48826,11561,49073,11807,49319,52,22109,446,31239,590,32435,3542,41054
frr,138211,1271819,216,636220,364,699707,636,763153,1119,826698,2036,890284,2625,915718,3400,941174,4433,966590,5833,992023,7724,1017459,8926,1030179,10320,1042892,11977,1055614,13922,1068332,16157,1081049,18715,1093765,21895,1106485,25483,1119203,29722,1131920,33962,1144640,36821,1150997,40001,1157357,43180,1163715,46360,1170075,49539,1176433,52719,1182793,55898,1189151,61902,1195510,68261,1201869,74621,1208229,80980,1214588,87339,1220947,93698,1227306,100057,1233665,106416,1240024,112775,1246383,119134,1252742,125493,1259101,131852,1265460,138211,1271819,1093,824134,9204,1032959,6910,1007427,41463,1160281
fry,996328,26072165,182,13039527,336,14345961,614,15643784,1117,16948681,2049,18251261,2621,18772425,3366,19293996,4359,19815203,5701,20336414,7544,20857926,8721,21118578,10118,21379240,11796,21639920,13812,21900625,16274,22161393,19309,22422078,23090,22682815,27844,22943544,33904,23204249,41773,23464950,46616,23595317,52198,23725687,58671,23856033,66249,23986397,75138,24116759,85740,24247124,98344,24377475,113657,24507839,132157,24638199,155156,24768557,183624,24898919,218661,25029281,262114,25159640,321295,25290002,386475,25420362,474885,25550722,605246,25681083,735607,25811444,865968,25941805,996328,26072165,15756,22110805,97803,24372606,49816,23672318,298898,25245208
ful,176663,1470412,392,735503,671,808926,1157,882338,1985,955808,3425,1029317,4292,1058719,5410,1088111,6866,1117525,8772,1146926,11301,1176331,12865,1191040,14678,1205741,16821,1220443,19281,1235150,22222,1249855,25725,1264557,29612,1279261,34513,1293964,39595,1308668,46947,1323372,50623,1330724,54299,1338076,57975,1345428,61651,1352780,66383,1360132,73735,1367484,81087,1374836,88439,1382188,95791,1389540,103143,1396892,110495,1404244,117847,1411596,125199,1418948,132551,1426300,139903,1433652,147255,1441004,154607,1448356,161959,1455708,169311,1463060,176663,1470412,1375,905758,11934,1182661,8833,1147719,52998,1335474
fur,82121,938387,138,469325,250,516278,451,563136,798,610006,1398,656873,1740,675639,2174,694414,2722,713178,3424,731965,4328,750710,4881,760109,5510,769486,6238,778870,7072,788247,8051,797632,9178,807016,10520,816401,12114,825784,13991,835169,16333,844550,17563,849243,19127,853935,20691,858627,22255,863319,24392,868008,26738,872700,29084,877392,31430,882084,33776,886776,36122,891468,39894,896160,44586,900852,49278,905544,53970,910236,58662,914928,63354,919620,68046,924312,72738,929004,77430,933696,82121,938387,832,613462,7646,793987,4106,746553,24636,868496
gaa,7,7,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,1,1,2,2
gag,28093,98139,1185,49071,1710,53982,2421,58884,3389,63792,4760,68699,5414,70661,6191,72623,7173,74587,8154,76549,9136,78513,9626,79493,10428,80474,11410,81456,12391,82437,13373,83419,14354,84400,15335,85381,16317,86363,17298,87344,18280,88326,18770,88816,19261,89307,19752,89798,20242,90288,20733,90779,21224,91270,21714,91760,22205,92251,22696,92742,23187,93233,23677,93723,24168,94214,24659,94705,25149,95195,25640,95686,26131,96177,26621,96667,27112,97158,27603,97649,28093,98139,76,21228,1414,51428,1404,51328,8427,77095
gan,14606,35661,401,17835,922,19616,1763,21397,2655,23181,3908,24963,4621,25676,5335,26390,6048,27103,6761,27816,7474,28529,7831,28886,8188,29243,8544,29599,8901,29956,9257,30312,9614,30669,9971,31026,10327,31382,10684,31739,11040,32095,11219,32274,11397,32452,11575,32630,11754,32809,11932,32987,12110,33165,12289,33344,12467,33522,12645,33700,12823,33878,13002,34057,13180,34235,13358,34413,13537,34592,13715,34770,13893,34948,14072,35127,14250,35305,14428,35483,14606,35661,10,12889,156,16264,730,19040,4381,25436
gaz,47999,300144,461,150092,700,165131,1053,180099,1610,195107,2502,210110,2994,216109,3594,222113,4337,228114,5262,234117,6391,240118,7069,243118,7820,246122,8633,249121,9633,252121,10634,255124,11809,258124,13310,261126,14811,264128,16312,267130,17985,270130,19486,271631,20987,273132,22487,274632,23988,276133,25489,277634,26989,279134,28490,280635,29991,282136,31492,283637,32992,285137,34493,286638,35994,288139,37494,289639,38995,291140,40496,292641,41997,294142,43497,295642,44998,297143,46499,298644,47999,300144,345,139870,3451,220826,2399,208678,14399,263304
gcf,619,2340,39,1173,52,1290,69,1409,93,1523,122,1638,138,1686,154,1734,172,1779,196,1827,219,1873,231,1897,242,1919,254,1943,266,1967,277,1989,292,2013,315,2036,339,2060,362,2083,385,2106,397,2118,409,2130,421,2142,432,2153,444,2165,456,2177,467,2188,479,2200,491,2212,502,2223,514,2235,526,2247,538,2259,549,2270,561,2282,573,2294,584,2305,596,2317,608,2329,619,2340,2,230,42,1203,30,1069,185,1805
gcr,16,16,8,8,9,9,10,10,11,11,12,12,12,12,12,12,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0,1,1,4,4
gil,16,16,8,8,9,9,10,10,11,11,12,12,12,12,12,12,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0,1,1,4,4
gla,250687,4739721,206,2371790,338,2607074,556,2844116,946,3081015,1632,3317938,2036,3412732,2547,3507491,3195,3602233,4033,3697035,5121,3791782,5793,3839190,6571,3886587,7483,3933976,8549,3981399,9812,4028763,11330,4076179,13156,4123562,15401,4170956,18186,4218357,21674,4265749,23744,4289454,26069,4313155,28757,4336848,31828,4360550,35360,4384242,39380,4407943,44120,4431643,49795,4455338,56051,4479038,63950,4502735,72438,4526434,84288,4550134,96137,4573832,108496,4597530,132194,4621228,155893,4644927,179592,4668626,203290,4692324,226989,4716023,250687,4739721,4049,3698635,26070,4313165,12534,4108387,75206,4531970
gle,3794750,227458246,226,113750712,393,125111292,673,136491567,1151,147860123,1947,159222285,2419,163774656,3019,168320817,3781,172868922,4767,177417671,6079,181968674,6908,184243008,7883,186515799,9042,188791557,10420,191065742,12067,193339740,14070,195614841,16540,197888908,19631,200163581,23575,202437978,28734,204712476,31932,205849990,35657,206987267,40035,208124454,45260,209261629,51563,210399033,59243,211536227,68715,212673493,80663,213810801,96035,214948043,116197,216085377,143442,217222658,181490,218359931,236622,219497210,319837,220634505,450765,221771792,663245,222909082,1002643,224046375,1558986,225183665,2657459,226320955,3794750,227458246,72404,213054897,356638,221014596,189737,218560967,1138425,224342543
glg,4117496,371358317,403,185755063,705,204281778,1181,222816671,1944,241393685,3162,259961158,3841,267386167,4678,274812621,5723,282233984,7045,289661447,8739,297088465,9772,300802355,10966,304515546,12363,308229466,14001,311942817,15924,315656042,18209,319369462,20978,323082293,24388,326795545,28662,330508997,34108,334222701,37413,336079292,41209,337936315,45601,339793240,50734,341649789,56764,343506592,63881,345363406,72321,347220208,82612,349076874,95404,350933704,111592,352790442,132622,354647200,160565,356503996,198718,358360777,253667,360217591,337904,362074377,476578,363931152,724244,365787943,1214949,367644735,2260705,369501526,4117496,371358317,112815,352913261,502156,364186932,205874,358647101,1235248,367705632
glk,651837,20138023,327,10075281,513,11078390,782,12083301,1184,13091178,1812,14097328,2158,14500284,2581,14902882,3106,15304950,3779,15708147,4643,16110615,5167,16311808,5775,16513410,6486,16714789,7325,16916008,8328,17117333,9538,17318706,11022,17520110,12864,17721498,15202,17922881,18220,18124250,20072,18224915,22228,18325628,24757,18426322,27738,18527003,31286,18627693,35575,18728365,40855,18829065,47416,18929753,55660,19030434,66181,19131122,79873,19231816,98144,19332503,122086,19433193,154612,19533883,200649,19634574,250994,19735264,349767,19835953,450457,19936643,551147,20037333,651837,20138023,12680,17703366,60888,19083918,32591,18660508,195551,19624378
glv,77598,1299469,176,650274,267,714822,415,780014,658,844826,1071,909634,1311,935668,1619,961648,2014,987608,2521,1013586,3179,1039609,3583,1052597,4049,1065573,4587,1078566,5207,1091557,5933,1104553,6793,1117557,7804,1130550,9011,1143534,10469,1156535,12218,1169523,13236,1176022,14319,1182520,15554,1189016,16854,1195516,18476,1202011,20100,1208507,22116,1215005,24282,1221503,26448,1228001,28613,1234496,31522,1240994,34771,1247492,38019,1253988,41268,1260486,45112,1266983,51609,1273480,58106,1279977,64604,1286475,71101,1292972,77598,1299469,1279,932543,9243,1145854,3879,1061057,23279,1218494
gom,177918,1417595,1836,708806,2802,779727,4260,850587,6529,921452,10134,992322,12142,1020681,14579,1049030,17575,1077380,21266,1105726,25770,1134080,28381,1148252,31217,1162432,34522,1176606,38066,1190782,42163,1204957,46888,1219132,51614,1233310,56339,1247485,61064,1261660,66525,1275836,70069,1282924,73613,1290012,77157,1297100,80701,1304188,84245,1311276,87789,1318364,91333,1325452,94877,1332540,99951,1339628,107039,1346716,114127,1353804,121215,1360892,128303,1367980,135391,1375068,142479,1382156,149567,1389244,156655,1396332,163743,1403420,170831,1410508,177918,1417595,1653,691487,15965,1062890,8895,971524,53375,1238593
gor,46924,433826,100,217134,188,238608,345,260335,615,281998,1080,303701,1357,312379,1707,321042,2141,329717,2671,338394,3324,347063,3709,351407,4150,355746,4657,360077,5242,364415,5923,368757,6725,373092,7652,377429,8737,381769,10079,386106,11525,390444,12389,392614,13473,394782,14558,396952,15642,399120,16727,401290,17812,403460,18896,405628,20895,407797,23064,409966,25233,412135,27402,414304,29571,416473,31741,418643,33910,420812,36079,422981,38248,425150,40417,427319,42586,429488,44755,431657,46924,433826,376,263562,4075,355071,2346,333290,14077,395990
grc,46007,411991,259,206061,424,226655,689,247220,1110,267804,1817,288400,2226,296640,2731,304882,3357,313116,4128,321354,5097,329600,5671,333715,6305,337834,6992,341956,7802,346073,8657,350194,9687,354314,10717,358434,12089,362554,13462,366673,14835,370792,15739,372852,16769,374912,17799,376972,18829,379032,19859,381092,20889,383152,21919,385212,22949,387272,23979,389332,25408,391392,27468,393452,29528,395512,31588,397572,33648,399632,35708,401692,37768,403752,39828,405812,41888,407872,43948,409932,46007,411991,425,226755,4150,321574,2300,297972,13802,367693
grn,221260,1926541,1032,963458,1661,1059672,2654,1155972,4251,1252297,6878,1348588,8380,1387121,10264,1425651,12637,1464174,15671,1502705,19563,1541234,21912,1560499,24606,1579764,27698,1599034,31204,1618298,35057,1637563,39825,1656827,44641,1676091,50919,1695358,57341,1714624,63762,1733887,68399,1743521,73215,1753153,78032,1762787,82848,1772419,87664,1782051,92481,1791685,97297,1801317,105668,1810949,115301,1820582,124933,1830214,134566,1839847,144199,1849480,153832,1859113,163464,1868745,173097,1878378,182730,1888011,192362,1897643,201995,1907276,211628,1916909,221260,1926541,2069,1104619,18155,1528562,11063,1439638,66378,1739479
gsw,977279,10945704,528,5473174,1027,6020387,1957,6567556,3701,7114734,7093,7662033,9270,7880948,12250,8099878,16341,8318749,21995,8537654,29866,8756576,34948,8866033,41013,8975478,48308,9084939,57021,9194397,67512,9303856,80323,9413308,95720,9522768,114753,9632220,137920,9741677,165285,9851137,183211,9905863,201454,9960592,219697,10015321,244168,10070048,271533,10124778,298897,10179506,326261,10234234,353625,10288962,380990,10343692,429994,10398419,484723,10453148,539451,10507876,594180,10562605,648908,10617333,703637,10672062,758365,10726790,813094,10781519,867822,10836247,922551,10890976,977279,10945704,8213,7782953,67460,9303388,48863,9092709,293183,10168078
guc,18782,207465,83,103920,123,114228,186,124603,286,134858,447,145227,538,149378,651,153527,795,157697,976,161833,1210,165978,1353,168058,1514,170127,1695,172199,1902,174275,2147,176353,2431,178425,2761,180496,3152,182573,3604,184644,4123,186720,4441,187757,4787,188795,5133,189833,5478,190868,5922,191906,6441,192944,6959,193980,7478,195018,7997,196056,8515,197092,9447,198130,10484,199167,11521,200204,12559,201242,13596,202279,14633,203316,15671,204354,16708,205391,17745,206428,18782,207465,237,130476,1864,173933,939,161064,5634,191330
gug,14283,140458,123,70274,174,77274,250,84313,361,91324,537,98347,633,101130,749,103949,890,106761,1064,109564,1280,112376,1405,113772,1548,115182,1707,116587,1886,117990,2087,119392,2321,120796,2594,122202,2903,123606,3254,125010,3686,126414,3920,127116,4154,127818,4409,128520,4760,129222,5111,129924,5462,130626,5814,131330,6165,132032,6558,132733,7261,133436,7963,134138,8665,134840,9367,135542,10070,136245,10772,136947,11474,137649,12177,138352,12879,139054,13581,139756,14283,140458,196,79684,1528,115002,714,103158,4284,128208
guj,5445982,319922531,714,159989678,1108,175964766,1710,191975198,2635,207961440,4122,223952962,4960,230347655,6009,236745059,7341,243143595,9052,249540940,11279,255938533,12643,259137690,14228,262337709,16084,265536325,18260,268736149,20849,271935174,23966,275134190,27762,278332633,32445,281531952,38330,284731422,45896,287930296,50522,289530162,55873,291129572,62130,292729337,69494,294328867,78260,295928392,88830,297528045,101752,299127669,117823,300727258,138187,302326816,164624,303926405,199850,305526028,248324,307125655,317759,308725249,422162,310324861,588460,311924473,869758,313524081,1359420,315123695,2246757,316723306,3846370,318322919,5445982,319922531,109517,299946137,502826,311200137,272299,307749025,1633794,315672443
gym,6583,337187,70,168922,90,185950,115,202723,147,219453,188,236056,209,242936,234,249688,262,256289,294,263043,333,269909,355,273253,379,276572,406,279952,435,283276,468,286702,504,290021,545,293383,592,296777,645,300100,710,303478,747,305167,788,306845,834,308557,884,310234,939,311908,1001,313587,1071,315287,1149,316972,1238,318652,1342,320342,1460,322021,1600,323700,1767,325387,1970,327072,2229,328761,2561,330444,3024,332131,3699,333816,4898,335502,6583,337187,466,286505,1736,325108,329,269263,1974,327100
hak,9916,38241,383,19129,545,21036,763,22949,1057,24860,1471,26772,1663,27535,1918,28300,2173,29065,2529,29829,2911,30593,3103,30977,3294,31359,3485,31741,3798,32123,4180,32505,4563,32888,4945,33270,5328,33653,5710,34035,6092,34417,6284,34609,6475,34800,6666,34991,6857,35182,7048,35373,7240,35565,7431,35756,7622,35947,7813,36138,8004,36329,8196,36521,8387,36712,8578,36903,8769,37094,8960,37285,9152,37477,9343,37668,9534,37859,9725,38050,9916,38241,27,8586,583,21416,495,20503,2974,30719
hat,2611978,99424093,324,49733533,550,54697939,903,59662964,1486,64626711,2475,69598969,3061,71588016,3814,73575945,4793,75563253,6106,77551219,7885,79539824,9006,80533692,10332,81528359,11918,82522077,13840,83516596,16181,84510601,19069,85504765,22684,86499015,27299,87493359,33247,88487534,41110,89481754,46043,89978821,51832,90476001,58683,90973112,66848,91470213,76671,91967323,88627,92464442,103389,92961545,121828,93458666,145246,93955771,175541,94452891,215512,94950011,269317,95447130,342912,95944252,447731,96441373,595956,96938493,816728,97435613,1120617,97932732,1617738,98429853,2114858,98926973,2611978,99424093,43927,89775133,236373,95163080,130598,93659576,783593,97369343
hau,2647523,123258766,314,61644531,497,67813150,774,73968382,1209,80119485,1940,86282448,2364,88750339,2909,91214757,3619,93677141,4552,96142252,5824,98608215,6638,99840707,7603,101072216,8755,102305009,10141,103537418,11826,104770460,13873,106002938,16425,107235356,19682,108467980,23918,109700355,29557,110932965,33085,111549277,37255,112165532,42225,112781834,48217,113398100,55494,114014423,64450,114630659,75526,115246972,89419,115863245,107137,116479540,130255,117095837,160806,117712137,202477,118328419,260802,118944714,344935,119561005,469848,120177297,655740,120793593,947405,121409885,1414936,122026179,2031230,122642473,2647523,123258766,46168,113200468,249022,118838694,132376,117144620,794256,121103587
haw,1309713,33631799,187,16829630,310,18507332,536,20180926,968,21862784,1810,23543561,2334,24215591,3034,24887839,3987,25560325,5309,26232964,7180,26905659,8395,27241944,9850,27578092,11612,27914514,13770,28250847,16427,28587063,19752,28923376,23960,29259682,29303,29596001,36223,29932307,45293,30268647,50900,30436787,57417,30604943,65056,30773105,74094,30941261,84854,31109422,97777,31277584,113320,31445740,132364,31613895,155542,31782054,184664,31950210,221114,32118370,266682,32286528,322735,32454687,403362,32622846,487442,32791006,637078,32959164,805237,33127323,973396,33295482,1141555,33463641,1309713,33631799,18265,28782730,116149,31474030,65485,30781685,392913,32601948
hbo,633,835,216,418,258,460,299,501,341,543,383,585,400,602,416,618,433,635,450,652,466,668,475,677,483,685,492,694,500,702,508,710,517,719,525,727,533,735,542,744,550,752,554,756,558,760,563,765,567,769,571,773,575,777,579,781,583,785,588,790,592,794,596,798,600,802,604,806,608,810,613,815,617,819,621,823,625,827,629,831,633,835,0,0,0,0,31,135,189,391
hbs,11675735,679947593,1564,339991202,2665,373991252,4410,407970485,7170,441971720,11610,475968928,14108,489563706,17206,503164553,21059,516762479,25924,530360586,32194,543959871,36021,550758355,40428,557557788,45561,564357623,51572,571156586,58670,577955923,67134,584755552,77372,591554738,89955,598354339,105620,605153546,125499,611953131,137558,615352834,151396,618752451,167423,622152134,186136,625551953,208201,628951584,234491,632351330,266281,635751019,305294,639150762,353877,642550507,415993,645950230,497435,649349960,607523,652749696,762340,656149443,990640,659549176,1345497,662948907,1932776,666348642,2957386,669748380,4876260,673148118,8275998,676547856,11675735,679947593,261681,635299649,1160740,661383384,583786,652102991,3502720,670839048
heb,5427804,497595676,1685,248822010,2567,273687388,3870,298560028,5792,323442265,8669,348321545,10219,358269226,12088,368221530,14351,378176429,17116,388125232,20553,398078171,22596,403052657,24904,408029722,27525,413004494,30525,417980934,33990,422956614,38022,427932886,42764,432908992,48395,437884730,55182,442860727,63485,447836631,68369,450324540,73865,452812276,80072,455300281,87118,457788037,95216,460276068,104607,462764178,115616,465252127,128706,467739942,144528,470228036,164006,472715974,188478,475203932,220119,477691857,262515,480179833,321991,482667818,410959,485155791,556476,487643773,824391,490131743,1410439,492619721,2939826,495107698,5427804,497595676,178190,474230185,668865,488900153,271390,480613064,1628341,493178018
hif,526182,11909669,300,5955285,467,6550627,727,7145924,1161,7741674,1906,8337209,2343,8575073,2903,8813186,3630,9051594,4593,9289736,5898,9527748,6728,9646853,7709,9765938,8879,9885029,10285,10004140,11993,10123278,14083,10242320,16681,10361430,19926,10480513,24028,10599616,29351,10718706,32634,10778254,36416,10837804,40812,10897348,45958,10956899,52002,11016448,59074,11075999,67358,11135542,77241,11195094,89141,11254639,103767,11314187,121097,11373736,140946,11433283,168519,11492831,198293,11552379,228441,11611928,287989,11671476,347537,11731024,407086,11790573,466634,11850121,526182,11909669,8439,9842599,50376,11001814,26309,10654692,157854,11471501
hil,565,1649,32,828,44,907,63,992,87,1073,121,1156,137,1188,154,1222,170,1254,203,1287,236,1320,252,1336,269,1353,285,1369,302,1386,318,1402,335,1419,351,1435,368,1452,384,1468,401,1485,409,1493,417,1501,425,1509,434,1518,442,1526,450,1534,458,1542,467,1551,475,1559,483,1567,491,1575,500,1584,508,1592,516,1600,524,1608,533,1617,541,1625,549,1633,557,1641,565,1649,2,239,23,751,28,796,169,1252
hin,4142136,552586610,197,276542329,316,304015077,495,331676719,770,359229205,1188,386836599,1420,397874278,1706,408946391,2051,419968331,2480,431035254,3021,442078153,3349,447605079,3723,453130375,4149,458654291,4638,464174023,5210,469701064,5890,475229705,6700,480753848,7675,486280819,8869,491805100,10355,497329418,11246,500092195,12255,502855862,13408,505617808,14746,508380930,16312,511142903,18161,513906117,20382,516668854,23090,519431777,26469,522194379,30788,524957304,36499,527720556,44294,530483217,55528,533246219,72607,536009111,100805,538771989,152892,541534886,264413,544297816,557671,547060747,1513911,549823677,4142136,552586610,85002,537413807,385770,545809902,207106,543163057,1242640,549281135
hmn,1550383,61626477,144,30830027,201,33929669,282,37001282,405,40062685,606,43142626,723,44377134,871,45605501,1066,46837607,1329,48069402,1715,49303205,1974,49917819,2301,50534761,2703,51150475,3193,51766982,3813,52382928,4617,52998995,5677,53615156,7084,54231614,9011,54847651,11678,55463890,13405,55771979,15475,56080219,17991,56388259,21087,56696433,24921,57004560,29734,57312664,35804,57620758,43672,57928905,54121,58237024,68268,58545167,87901,58853298,115817,59161424,156278,59469552,216655,59777685,306988,60085817,445312,60393948,625986,60702080,934119,61010213,1242251,61318345,1550383,61626477,19469,56543461,113440,59140031,77519,58703300,465114,60433552
hmo,7294,957646,31,479164,41,529659,55,577267,73,622624,99,671386,112,689933,128,708857,147,728145,169,747684,193,766520,207,776186,222,785398,239,795008,257,804466,278,814346,301,823866,328,833463,358,842887,392,852457,431,861925,454,866874,478,871618,504,876251,534,881045,568,885896,605,890646,648,895467,697,900277,752,905041,814,909802,887,914609,974,919387,1079,924148,1210,928927,1379,933706,1611,938501,1952,943283,2509,948073,3657,952859,7294,957646,665,897205,2115,944992,364,844657,2188,945649
