file,distinct_words,total_frequency,cov_50_types,cov_50_tokens,cov_55_types,cov_55_tokens,cov_60_types,cov_60_tokens,cov_65_types,cov_65_tokens,cov_70_types,cov_70_tokens,cov_72_types,cov_72_tokens,cov_74_types,cov_74_tokens,cov_76_types,cov_76_tokens,cov_78_types,cov_78_tokens,cov_80_types,cov_80_tokens,cov_81_types,cov_81_tokens,cov_82_types,cov_82_tokens,cov_83_types,cov_83_tokens,cov_84_types,cov_84_tokens,cov_85_types,cov_85_tokens,cov_86_types,cov_86_tokens,cov_87_types,cov_87_tokens,cov_88_types,cov_88_tokens,cov_89_types,cov_89_tokens,cov_90_types,cov_90_tokens,cov_90_5_types,cov_90_5_tokens,cov_91_types,cov_91_tokens,cov_91_5_types,cov_91_5_tokens,cov_92_types,cov_92_tokens,cov_92_5_types,cov_92_5_tokens,cov_93_types,cov_93_tokens,cov_93_5_types,cov_93_5_tokens,cov_94_types,cov_94_tokens,cov_94_5_types,cov_94_5_tokens,cov_95_types,cov_95_tokens,cov_95_5_types,cov_95_5_tokens,cov_96_types,cov_96_tokens,cov_96_5_types,cov_96_5_tokens,cov_97_types,cov_97_tokens,cov_97_5_types,cov_97_5_tokens,cov_98_types,cov_98_tokens,cov_98_5_types,cov_98_5_tokens,cov_99_types,cov_99_tokens,cov_99_5_types,cov_99_5_tokens,cov_100_types,cov_100_tokens,freq100_types,freq100_tokens,freq10_types,freq10_tokens,rank5pct_types,rank5pct_tokens,rank30pct_types,rank30pct_tokens
ajp,175525,1091814,1277,545941,2099,600534,3390,655105,5410,709696,8620,764277,10420,786111,12617,807949,15273,829783,18588,851619,22669,873453,25082,884371,27812,895291,30768,906208,34407,917125,38046,928042,42436,938962,47895,949880,53354,960798,58813,971716,66344,982633,71803,988092,77262,993551,82721,999010,88180,1004469,93639,1009928,99099,1015388,104558,1020847,110017,1026306,115476,1031765,120935,1037224,126394,1042683,131853,1048142,137312,1053601,142771,1059060,148230,1064519,153689,1069978,159148,1075437,164607,1080896,170066,1086355,175525,1091814,1071,527164,12021,802585,8776,766305,52657,959404
aka,33902,404530,142,202456,220,222602,338,242768,524,262953,822,283193,992,291295,1202,299355,1466,307464,1798,315539,2219,323634,2476,327678,2769,331718,3102,335766,3486,339806,3925,343857,4437,347899,5033,351947,5711,355991,6520,360036,7506,364079,8012,366103,8647,368125,9321,370147,9995,372169,10669,374191,11583,376214,12594,378236,13606,380260,14617,382282,15628,384304,16640,386328,17721,388349,19744,390372,21767,392395,23789,394417,25812,396440,27835,398463,29857,400485,31880,402508,33902,404530,451,256146,3586,340806,1695,313220,10170,372694
aln,31470,734061,75,367451,119,403915,188,440482,304,477179,494,513948,601,528527,733,543291,892,557921,1094,572622,1346,587253,1496,594628,1663,601949,1855,609275,2075,616636,2325,623956,2609,631309,2935,638642,3316,645991,3764,653320,4292,660656,4592,664329,4919,668002,5279,671670,5676,675337,6111,679010,6594,682679,7127,686351,7739,690023,8430,693691,9182,697360,10100,701032,11115,704701,12338,708370,13708,712041,15543,715711,17378,719381,20460,723051,24130,726721,27800,730391,31470,734061,760,546014,5373,672610,1573,598113,9441,698396
als,2631913,99291068,425,49652929,826,54617105,1504,59579155,2608,64541835,4439,69505805,5499,71490984,6831,73476028,8513,75462122,10677,77447465,13503,79433268,15250,80425841,17281,81418723,19660,82411884,22473,83404585,25829,84397675,29864,85390399,34784,86383353,40875,87376199,48549,88369161,58386,89362009,64409,89858466,71356,90354880,79459,90851335,89022,91347785,100406,91844250,114096,92340713,130760,92837151,151344,93333604,177134,93830071,210053,94326521,252910,94822978,309482,95319429,386140,95815883,495198,96312338,646478,96808794,873598,97305248,1142547,97801702,1639003,98298158,2135458,98794613,2631913,99291068,53874,88938375,264260,94936478,131595,92859696,789573,97137198
alt,25148,173959,483,86990,682,95709,958,104382,1352,113091,1923,121780,2224,125258,2574,128730,2989,132215,3473,135692,4062,139168,4410,140908,4761,142648,5196,144388,5631,146128,6140,147866,6720,149606,7300,151346,7968,153085,8838,154825,9708,156565,10142,157433,10577,158303,11012,159173,11447,160043,12102,160913,12971,161782,13841,162652,14711,163522,15581,164392,16451,165262,17320,166131,18190,167001,19060,167871,19930,168741,20800,169611,21669,170480,22539,171350,23409,172220,24279,173090,25148,173959,253,71071,2492,127992,1257,111261,7544,152078
amh,5591614,99815231,3986,49908024,6179,54899276,9617,59889267,15194,64880136,24702,69870672,30337,71866985,37579,73863310,47025,75859602,59638,77855919,76830,79852205,87794,80850357,100857,81848521,116503,82846688,135396,83844811,158435,84842978,186839,85841102,222261,86839267,266981,87837417,324018,88835568,398172,89833715,443474,90332792,495895,90831865,556123,91330942,626033,91830019,708103,92329094,805052,92828167,919366,93327241,1045538,93826319,1211897,94325396,1381670,94824470,1631208,95323546,1880746,95822622,2130284,96321698,2597158,96820775,3096234,97319851,3595310,97818927,4094386,98318003,4593462,98817079,5092538,99316155,5591614,99815231,76561,79825574,470758,90605632,279580,88080530,1677484,95416098
ang,27728,105447,307,52739,565,58009,1010,63275,1747,68545,2911,73814,3569,75922,4272,78031,5247,80141,6301,82249,7356,84359,7883,85413,8748,86467,9803,87522,10857,88576,11911,89630,12966,90685,14020,91739,15075,92794,16129,93848,17184,94903,17711,95430,18238,95957,18766,96485,19293,97012,19820,97539,20347,98066,20874,98593,21402,99121,21929,99648,22456,100175,22983,100702,23511,101230,24038,101757,24565,102284,25092,102811,25620,103339,26147,103866,26674,104393,27201,104920,27728,105447,88,41869,973,62942,1386,66275,8318,86037
anw,52661,409670,75,204981,165,225346,369,245838,765,266295,1530,286779,1995,294966,2583,303160,3330,311357,4272,319545,5475,327737,6174,331833,6994,335933,7898,340028,8922,344124,10000,348222,11365,352317,12731,356415,14402,360511,16450,364607,18498,368703,19523,370753,20547,372801,21571,374849,22595,376897,23619,378945,24644,380995,26033,383042,28081,385090,30130,387139,32178,389187,34226,391235,36275,393284,38323,395332,40371,397380,42420,399429,44468,401477,46516,403525,48565,405574,50613,407622,52661,409670,256,236338,3423,312287,2633,303760,15798,363303
aoj,24354,417728,142,208868,195,230080,269,250730,378,271561,548,292444,643,300793,756,309138,897,317522,1069,325833,1284,334194,1410,338384,1553,342539,1718,346723,1905,350898,2121,355078,2371,359251,2668,363434,3017,367603,3427,371786,3918,375959,4197,378047,4495,380133,4841,382226,5204,384313,5622,386403,6088,388488,6610,390576,7133,392668,7817,394755,8513,396843,9407,398931,10451,401019,11496,403109,12540,405197,13911,407285,16000,409374,18089,411463,20177,413551,22266,415640,24354,417728,534,291075,3388,371435,1217,331776,7306,393222
apc,154029,1147665,1027,573868,1592,631290,2470,688643,3875,745994,6156,803385,7441,826330,9011,849275,10948,872230,13353,895181,16376,918135,18164,929612,20122,941086,22418,952566,24998,964041,27867,975517,31193,986992,35019,998470,38845,1009948,44312,1021422,50051,1032900,52920,1038638,55789,1044376,58658,1050114,62216,1055852,67955,1061591,73693,1067329,79431,1073067,85170,1078806,90908,1084544,96646,1090282,102385,1096021,108123,1101759,113861,1107497,119600,1113236,125338,1118974,131076,1124712,136815,1130451,142553,1136189,148291,1141927,154029,1147665,1322,606808,12101,883913,7701,830490,46208,1025214
ara,10779260,867255773,1876,433640711,2798,477003462,4135,520370602,6118,563727672,9202,607087435,10900,624431649,12967,641772038,15536,659119896,18761,676461516,22877,693804695,25373,702478731,28242,711150297,31553,719822810,35399,728496893,39920,737167658,45285,745840438,51743,754513521,59608,763185699,69373,771858371,81704,780530761,89144,784867012,97668,789203006,107526,793539401,119058,797875508,132664,802211626,148855,806547880,168355,810884343,192191,815220453,221853,819556809,259589,823893081,308754,828229290,374714,832565595,466437,836901850,600123,841238123,807246,845574391,1155074,849910660,1807710,854246941,3200675,858583216,6442982,862919495,10779260,867255773,262694,824204982,1150577,849870187,538963,839468866,3233778,858649422
arb,48524,154229,1791,77123,2792,84827,4223,92538,6277,100249,8954,107962,10496,111046,12038,114130,13581,117216,15123,120300,17679,123384,19221,124926,20763,126468,22306,128011,23848,129553,25390,131095,26932,132637,28475,134180,30017,135722,31559,137264,33102,138807,33873,139578,34644,140349,35415,141120,36186,141891,36957,142662,37728,143433,38500,144205,39271,144976,40042,145747,40813,146518,41584,147289,42355,148060,43126,148831,43898,149603,44669,150374,45440,151145,46211,151916,46982,152687,47753,153458,48524,154229,121,37666,1771,76943,2426,82326,14557,119168
